Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,23,18,3,2,55,14,41,57,51.5,16.0,35.5,1.54,W W W W D,52683,"Raheem Sterling, Bernardo Silva - 7",Ederson,,2.239130434782609,0.6956521739130435,0.4987490707622946
Liverpool,2,22,14,6,2,58,19,39,48,54.1,23.0,31.1,1.42,D L D W W,52929,Mohamed Salah - 16,Alisson,,2.459090909090909,1.0454545454545454,0.3515319957864631
Chelsea,3,24,13,8,3,48,18,30,47,40.8,22.1,18.7,0.78,D D L D W,37758,Mason Mount - 7,Edouard Mendy,,1.7,0.9208333333333334,0.39818708021984806
Manchester Utd,4,22,11,5,6,36,30,6,38,31.9,32.9,-1.0,-0.05,W L D W W,73025,Cristiano Ronaldo - 8,David de Gea,,1.45,1.4954545454545454,0.22414669670923548
West Ham,5,23,11,4,8,41,31,10,37,33.4,29.5,3.8,0.17,W W W L L,57250,Michail Antonio - 8,Łukasz Fabiański,,1.452173913043478,1.2826086956521738,0.27731293099688087
Arsenal,6,21,11,3,7,33,25,8,36,30.9,28.8,2.2,0.1,W W W L D,59435,Emile Smith Rowe - 8,Aaron Ramsdale,,1.4714285714285713,1.3714285714285714,0.2537442087799692
Tottenham,7,20,11,3,6,26,24,2,36,31.6,21.4,10.2,0.51,W D W W L,54566,Son Heung-min - 8,Hugo Lloris,,1.58,1.0699999999999998,0.34300851741870675
Wolves,8,21,10,4,7,19,16,3,34,20.9,27.1,-6.2,-0.29,W D W W W,30450,"Hwang Hee-chan, Raúl Jiménez - 4",José Sá,,0.9952380952380951,1.2904761904761906,0.2751397329693575
Brighton,9,22,6,12,4,23,23,0,30,25.7,26.9,-1.3,-0.06,D W D D D,30735,Neal Maupay - 7,Robert Sánchez,,1.1681818181818182,1.2227272727272727,0.2944260907074565
Leicester City,10,20,7,5,8,34,37,-3,26,31.1,36.4,-5.3,-0.27,W L W L D,32279,Jamie Vardy - 9,Kasper Schmeichel,,1.5550000000000002,1.8199999999999998,0.1620257509338808
Aston Villa,11,21,8,2,11,28,32,-4,26,22.2,29.0,-6.8,-0.32,W L L D W,41849,Ollie Watkins - 5,Emiliano Martínez,,1.0571428571428572,1.380952380952381,0.25133906849616483
Southampton,12,22,5,10,7,26,34,-8,25,27.3,31.7,-4.4,-0.2,W D W L D,29578,James Ward-Prowse - 6,Alex McCarthy,,1.240909090909091,1.440909090909091,0.23671246768496393
Crystal Palace,13,22,5,9,8,31,34,-3,24,27.5,27.2,0.3,0.02,L W L D L,24332,Conor Gallagher - 7,Vicente Guaita,,1.25,1.2363636363636363,0.29043843979142936
Brentford,14,23,6,5,12,26,38,-12,23,27.2,29.2,-2.0,-0.09,W L L L L,16854,Ivan Toney - 6,Álvaro Fernández,,1.182608695652174,1.2695652173913043,0.2809537490309797
Leeds United,15,21,5,7,9,24,40,-16,22,27.2,37.4,-10.2,-0.48,L L W W L,36207,Raphael Dias Belloli - 8,Illan Meslier,,1.2952380952380953,1.7809523809523808,0.16847761596490393
Everton,16,20,5,4,11,24,35,-11,19,24.6,28.1,-3.5,-0.18,L D L L L,37929,Demarai Gray - 5,Jordan Pickford,,1.23,1.405,0.24536705645292634
Norwich City,17,22,4,4,14,13,45,-32,16,18.9,37.5,-18.7,-0.85,L L L W W,26903,Teemu Pukki - 5,Tim Krul,,0.859090909090909,1.7045454545454546,0.18185502876824997
Watford,18,21,4,3,14,23,40,-17,15,23.8,38.9,-15.2,-0.72,L L D L D,20552,Emmanuel Dennis - 8,Daniel Bachmann,,1.1333333333333333,1.8523809523809522,0.1568632374381903
Newcastle Utd,19,21,2,9,10,21,43,-22,15,19.3,36.8,-17.5,-0.83,L L D D W,50989,Callum Wilson - 6,Martin Dúbravka,,0.9190476190476191,1.7523809523809522,0.1733606881318831
Burnley,20,19,1,10,8,16,27,-11,13,18.1,27.9,-9.8,-0.52,D L L D D,18464,Maxwel Cornet - 6,Nick Pope,,0.9526315789473685,1.4684210526315788,0.23028881218811528
