,General,General,General,General,General,General,General,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,General
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
89,87,Fabio Carvalho,eng ENG,"MF,FW",Fulham,17.0,2002.0,4,3,255,2.8,1,0,1,0,0,0,0,0.35,0.0,0.35,0.35,0.35,1.1,1.1,0.4,1.5,0.4,0.13,0.53,0.4,0.53,Matches
90,88,Matty Cash,eng ENG,DF,Aston Villa,22.0,1997.0,28,28,2372,26.4,0,2,0,0,0,8,1,0.0,0.08,0.08,0.0,0.08,0.3,0.3,2.2,2.5,0.01,0.08,0.1,0.01,0.1,Matches
91,89,Kiko Casilla,es ESP,GK,Leeds United,33.0,1986.0,3,3,270,3.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
92,90,Timothy Castagne,be BEL,DF,Leicester City,24.0,1995.0,27,27,2345,26.1,2,3,2,0,0,1,0,0.08,0.12,0.19,0.08,0.19,1.3,1.3,2.0,3.3,0.05,0.08,0.13,0.05,0.13,Matches
93,91,Jonny Castro,es ESP,DF,Wolves,26.0,1994.0,7,7,495,5.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.01,0.03,0.04,0.01,0.04,Matches
94,92,Ivan Cavaleiro,pt POR,"FW,MF",Fulham,26.0,1993.0,36,27,2472,27.5,3,0,2,1,2,2,0,0.11,0.0,0.11,0.07,0.07,6.2,4.7,3.4,8.0,0.23,0.12,0.35,0.17,0.29,Matches
95,93,Edinson Cavani,uy URU,FW,Manchester Utd,33.0,1987.0,26,13,1375,15.3,10,3,10,0,0,4,0,0.65,0.2,0.85,0.65,0.85,7.4,7.4,2.7,10.1,0.48,0.17,0.66,0.48,0.66,Matches
96,94,Dani Ceballos,es ESP,MF,Arsenal,23.0,1996.0,25,17,1615,17.9,0,3,0,0,0,4,0,0.0,0.17,0.17,0.0,0.17,0.7,0.7,2.9,3.6,0.04,0.16,0.2,0.04,0.2,Matches
97,95,Calum Chambers,eng ENG,DF,Arsenal,25.0,1995.0,10,8,753,8.4,0,2,0,0,0,0,0,0.0,0.24,0.24,0.0,0.24,0.6,0.6,1.1,1.7,0.07,0.14,0.21,0.07,0.21,Matches
98,96,Ben Chilwell,eng ENG,DF,Chelsea,23.0,1996.0,27,27,2286,25.4,3,5,3,0,0,3,0,0.12,0.2,0.31,0.12,0.31,2.4,2.4,2.8,5.3,0.1,0.11,0.21,0.1,0.21,Matches
