Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,36,28,5,3,94,22,72,89,83.6,25.5,58.0,1.61,W W W W W,52739,Kevin De Bruyne - 15,Ederson,,2.322222222222222,0.7083333333333334,0.49246428767540973
Liverpool,2,36,26,8,2,89,24,65,86,84.6,33.1,51.4,1.43,W W W D W,53367,Mohamed Salah - 22,Alisson,,2.3499999999999996,0.9194444444444445,0.3987405020630258
Chelsea,3,36,20,10,6,73,31,42,70,63.2,34.9,28.4,0.79,W D L D W,36991,Mason Mount - 11,Edouard Mendy,,1.7555555555555555,0.9694444444444444,0.3792936983025378
Arsenal,4,36,21,3,12,56,45,11,66,55.8,40.9,14.9,0.43,W W W W L,59636,Bukayo Saka - 11,Aaron Ramsdale,,1.5499999999999998,1.136111111111111,0.3210651839792724
Tottenham,5,36,20,5,11,63,40,23,65,56.4,37.9,18.5,0.53,L D W D W,56234,Son Heung-min - 21,Hugo Lloris,,1.5666666666666667,1.0527777777777778,0.3489670486273495
Manchester Utd,6,37,16,10,11,57,56,1,58,53.9,54.3,-0.4,-0.01,L L D W L,73150,Cristiano Ronaldo - 18,David de Gea,,1.4567567567567568,1.4675675675675675,0.23048544414901148
West Ham,7,36,16,7,13,57,46,11,55,48.5,46.9,1.6,0.05,L D L L W,58281,Jarrod Bowen - 10,Łukasz Fabiański,,1.3472222222222223,1.3027777777777778,0.27177581073709683
Wolves,8,36,15,5,16,36,39,-3,50,33.9,55.7,-21.7,-0.6,L L L D L,30751,Raúl Jiménez - 6,José Sá,,0.9416666666666667,1.5472222222222223,0.21283837114846965
Brighton,9,36,11,14,11,38,42,-4,47,42.1,43.3,-1.3,-0.04,W L D W W,30931,"Leandro Trossard, Neal Maupay - 8",Robert Sánchez,,1.1694444444444445,1.2027777777777777,0.30035872226307075
Leicester City,10,35,12,9,14,52,56,-4,45,46.2,56.8,-10.6,-0.3,D D L L W,32521,Jamie Vardy - 12,Kasper Schmeichel,,1.32,1.6228571428571428,0.19733408121014592
Crystal Palace,11,35,10,14,11,46,42,4,44,43.3,38.3,4.9,0.14,L L D W W,24541,Wilfried Zaha - 13,Vicente Guaita,,1.237142857142857,1.0942857142857143,0.33477864917277333
Aston Villa,12,35,13,4,18,48,49,-1,43,41.4,43.2,-1.8,-0.05,L D W W L,41784,Ollie Watkins - 10,Emiliano Martínez,,1.1828571428571428,1.2342857142857144,0.2910425756940381
Brentford,13,36,12,7,17,44,52,-8,43,45.1,45.9,-0.9,-0.02,W W D L W,16916,Ivan Toney - 12,David Raya,,1.2527777777777778,1.275,0.27943096822140734
Newcastle Utd,14,36,11,10,15,40,61,-21,43,36.5,53.5,-16.9,-0.47,W W W L L,51443,Callum Wilson - 6,Martin Dúbravka,,1.0138888888888888,1.4861111111111112,0.22625081117354073
Southampton,15,36,9,13,14,41,61,-20,40,45.6,54.7,-9.1,-0.25,W L D L L,30053,James Ward-Prowse - 9,Fraser Forster,,1.2666666666666666,1.5194444444444446,0.2188334273141627
Everton,16,35,10,6,19,37,56,-19,36,39.0,48.4,-9.4,-0.27,D L W W D,38424,Richarlison - 8,Jordan Pickford,,1.1142857142857143,1.3828571428571428,0.2508607830678531
Burnley,17,35,7,13,15,32,49,-17,34,35.1,51.6,-16.5,-0.47,D W W W L,19163,Maxwel Cornet - 8,Nick Pope,,1.002857142857143,1.4742857142857144,0.22894219879750163
Leeds United,18,36,8,10,18,39,77,-38,34,43.8,66.9,-23.1,-0.64,W D L L L,36290,Raphael Dias Belloli - 10,Illan Meslier,,1.2166666666666666,1.8583333333333334,0.15593230108409842
Watford,19,36,6,5,25,32,70,-38,23,36.4,61.8,-25.4,-0.7,L L L L D,20634,Emmanuel Dennis - 10,Ben Foster,,1.011111111111111,1.7166666666666666,0.1796640309893994
Norwich City,20,36,5,6,25,22,78,-56,21,31.6,72.4,-40.8,-1.13,L L L L L,26826,Teemu Pukki - 10,Tim Krul,,0.8777777777777778,2.011111111111111,0.13383988104205138
