Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Chelsea,1,12,9,2,1,30,4,26,29,21.8,11.9,9.9,0.83,W W W D W,39832,Reece James - 4,Edouard Mendy,,1.8166666666666667,0.9916666666666667,0.3709579123291555
Manchester City,2,12,8,2,2,25,6,19,26,26.4,8.3,18.1,1.51,W W L W W,52451,Bernardo Silva - 4,Ederson,,2.1999999999999997,0.6916666666666668,0.5007408051975173
Liverpool,3,12,7,4,1,35,11,24,25,31.9,12.5,19.4,1.62,W W D L W,52897,Mohamed Salah - 11,Alisson,,2.658333333333333,1.0416666666666667,0.3528660814588489
West Ham,4,12,7,2,3,23,14,9,23,18.1,12.8,5.3,0.44,W W W W L,58238,Michail Antonio - 6,Łukasz Fabiański,,1.5083333333333335,1.0666666666666667,0.34415378686541237
Arsenal,5,12,6,2,4,13,17,-4,20,14.5,20.9,-6.4,-0.53,D W W W L,59242,"Emile Smith-Rowe, Pierre-Emerick Aubameyang - 4",Aaron Ramsdale,,1.2083333333333333,1.7416666666666665,0.17522811025892676
Wolves,6,12,6,1,5,12,12,0,19,15.0,14.4,0.6,0.05,W D W L W,30459,Hwang Hee-chan - 4,José Sá,,1.25,1.2,0.30119421191220214
Tottenham,7,12,6,1,5,11,17,-6,19,13.0,14.7,-1.7,-0.14,W L L D W,58069,Son Heung-min - 4,Hugo Lloris,,1.0833333333333333,1.2249999999999999,0.2937577003235329
Manchester Utd,8,12,5,2,5,20,21,-1,17,17.1,19.7,-2.6,-0.22,L L W L L,72948,"Mason Greenwood, Bruno Fernandes... - 4",David de Gea,,1.425,1.6416666666666666,0.19365701148751888
Brighton,9,12,4,5,3,12,14,-2,17,12.7,14.7,-2.0,-0.17,D L D D L,30810,Neal Maupay - 4,Robert Sánchez,,1.0583333333333333,1.2249999999999999,0.2937577003235329
Crystal Palace,10,12,3,7,2,18,17,1,16,15.1,12.5,2.6,0.22,D D W W D,24344,"Wilfried Zaha, Conor Gallagher... - 4",Vicente Guaita,,1.2583333333333333,1.0416666666666667,0.3528660814588489
Everton,11,12,4,3,5,16,19,-3,15,16.6,16.7,-0.1,-0.01,L L L D L,37389,"Demarai Gray, Andros Townsend... - 3",Jordan Pickford,,1.3833333333333335,1.3916666666666666,0.24866052486976417
Leicester City,12,12,4,3,5,16,21,-5,15,16.8,18.5,-1.7,-0.14,W W L D L,32608,Jamie Vardy - 7,Kasper Schmeichel,,1.4000000000000001,1.5416666666666667,0.21402409717744744
Southampton,13,12,3,5,4,11,14,-3,14,16.7,15.2,1.5,0.13,W D W W L,29972,"Adam Armstrong, Armando Broja... - 2",Alex McCarthy,,1.3916666666666666,1.2666666666666666,0.28176928909495835
Brentford,14,12,3,4,5,16,17,-1,13,16.0,14.3,1.8,0.15,L L L L D,16744,Ivan Toney - 3,David Raya,,1.3333333333333333,1.1916666666666667,0.3037146509214855
Watford,15,12,4,1,7,16,20,-4,13,14.0,22.3,-8.3,-0.69,L W L L W,20627,Ismaila Sarr - 5,Ben Foster,,1.1666666666666667,1.8583333333333334,0.15593230108409842
Aston Villa,16,12,4,1,7,16,20,-4,13,12.3,17.2,-4.9,-0.41,L L L L W,41941,"Danny Ings, Ollie Watkins - 3",Emiliano Martínez,,1.0250000000000001,1.4333333333333333,0.23851255385430242
Leeds United,17,12,2,5,5,12,20,-8,11,15.4,19.4,-4.1,-0.34,L D W D L,36405,Raphael Dias Belloli - 5,Illan Meslier,,1.2833333333333334,1.6166666666666665,0.19855946207372616
Burnley,18,12,1,6,5,14,20,-6,9,13.5,19.5,-6.0,-0.5,L D W D D,18531,Maxwel Cornet - 5,Nick Pope,,1.125,1.625,0.19691167520419406
Norwich City,19,12,2,2,8,7,27,-20,8,10.0,22.3,-12.3,-1.02,D L L W W,26835,Teemu Pukki - 4,Tim Krul,,0.8333333333333334,1.8583333333333334,0.15593230108409842
Newcastle Utd,20,12,0,6,6,15,27,-12,6,11.6,21.0,-9.4,-0.78,L D L D D,50275,Callum Wilson - 4,Karl Darlow,,0.9666666666666667,1.75,0.17377394345044514
