Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,22,18,2,2,54,13,41,56,49.9,14.9,35.0,1.59,W W W W W,52683,"Raheem Sterling, Bernardo Silva - 7",Ederson,,2.268181818181818,0.6772727272727272,0.5080005608988211
Liverpool,2,21,13,6,2,55,18,37,45,52.4,20.8,31.5,1.5,W D L D W,52929,Mohamed Salah - 16,Alisson,,2.4952380952380953,0.9904761904761905,0.3713997918627968
Chelsea,3,23,12,8,3,46,18,28,44,39.9,21.7,18.2,0.79,W D D L D,37552,Mason Mount - 7,Edouard Mendy,,1.7347826086956522,0.9434782608695652,0.38927149007305223
West Ham,4,22,11,4,7,41,30,11,37,33.0,27.7,5.3,0.24,L W W W L,57250,Michail Antonio - 8,Łukasz Fabiański,,1.5,1.259090909090909,0.283912011044523
Tottenham,5,19,11,3,5,26,22,4,36,31.1,20.4,10.7,0.56,D W D W W,54566,Son Heung-min - 8,Hugo Lloris,,1.6368421052631579,1.0736842105263158,0.3417471268691672
Arsenal,6,20,11,2,7,33,25,8,35,29.8,28.3,1.5,0.07,W W W W L,59453,Emile Smith Rowe - 8,Aaron Ramsdale,,1.49,1.415,0.24292561344874244
Manchester Utd,7,21,10,5,6,35,30,5,35,30.0,32.5,-2.5,-0.12,D W L D W,73015,Cristiano Ronaldo - 8,David de Gea,,1.4285714285714286,1.5476190476190477,0.2127539282330338
Wolves,8,20,9,4,7,17,15,2,31,20.7,25.8,-5.1,-0.25,L W D W W,30450,"Hwang Hee-chan, Raúl Jiménez - 4",José Sá,,1.035,1.29,0.27527078308975234
Brighton,9,21,6,11,4,22,22,0,29,24.3,24.6,-0.2,-0.01,W D W D D,30735,Neal Maupay - 7,Robert Sánchez,,1.1571428571428573,1.1714285714285715,0.3099238764710244
Leicester City,10,19,7,4,8,33,36,-3,25,28.7,35.0,-6.3,-0.33,L W L W L,32384,Jamie Vardy - 9,Kasper Schmeichel,,1.5105263157894737,1.8421052631578947,0.15848342533402837
Crystal Palace,11,21,5,9,7,30,31,-1,24,25.3,25.4,-0.1,0.0,D L W L D,24271,Conor Gallagher - 7,Vicente Guaita,,1.2047619047619047,1.2095238095238094,0.29833931194896035
Southampton,12,21,5,9,7,25,33,-8,24,26.0,30.1,-4.1,-0.2,D W D W L,29418,James Ward-Prowse - 6,Alex McCarthy,,1.2380952380952381,1.4333333333333333,0.23851255385430242
Aston Villa,13,20,7,2,11,27,32,-5,23,21.5,27.8,-6.2,-0.31,L W L L D,41849,Ollie Watkins - 5,Emiliano Martínez,,1.075,1.3900000000000001,0.24907530463166816
Brentford,14,22,6,5,11,25,36,-11,23,25.9,29.0,-3.1,-0.14,L W L L L,16842,Ivan Toney - 5,Álvaro Fernández,,1.1772727272727272,1.3181818181818181,0.26762144432855817
Leeds United,15,20,5,7,8,24,39,-15,22,26.2,36.0,-9.7,-0.49,L L L W W,36188,Raphael Dias Belloli - 8,Illan Meslier,,1.31,1.8,0.16529888822158653
Everton,16,19,5,4,10,24,34,-10,19,23.3,27.4,-4.1,-0.22,W L D L L,37898,Demarai Gray - 5,Jordan Pickford,,1.2263157894736842,1.4421052631578946,0.23642948808008976
Watford,17,19,4,2,13,23,37,-14,14,21.7,37.5,-15.8,-0.83,L L L L D,20529,Emmanuel Dennis - 8,Daniel Bachmann,,1.1421052631578947,1.9736842105263157,0.1389440130885247
Norwich City,18,21,3,4,14,10,45,-35,13,18.1,36.4,-18.3,-0.87,L L L L W,26903,Teemu Pukki - 5,Tim Krul,,0.861904761904762,1.7333333333333332,0.17669444575659676
Newcastle Utd,19,20,1,9,10,20,43,-23,12,18.1,35.8,-17.7,-0.89,L L L D D,50989,Callum Wilson - 6,"Karl Darlow, Martin Dúbravka",,0.905,1.7899999999999998,0.16696016966704072
Burnley,20,17,1,8,8,16,27,-11,11,16.9,25.8,-8.9,-0.52,D L D L L,18464,Maxwel Cornet - 6,Nick Pope,,0.9941176470588234,1.5176470588235293,0.21922710906276432
