,General,General,General,General,General,General,General,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,General
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
0,1,Max Aarons,eng ENG,DF,Norwich City,21-329,2000,13,13,1170,13.0,0,1,0,0,0,3,0,0.0,0.08,0.08,0.0,0.08,0.6,0.6,0.8,1.3,0.04,0.06,0.1,0.04,0.1,Matches
1,2,Che Adams,sct SCO,FW,Southampton,25-139,1996,10,9,678,7.5,2,1,2,0,0,0,0,0.27,0.13,0.4,0.27,0.4,1.7,1.7,1.3,3.1,0.23,0.18,0.41,0.23,0.41,Matches
2,3,Rayan Aït Nouri,fr FRA,DF,Wolves,20-176,2001,6,5,449,5.0,0,1,0,0,0,1,0,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.5,0.7,0.04,0.11,0.14,0.04,0.14,Matches
3,4,Kristoffer Ajer,no NOR,DF,Brentford,23-226,1998,7,6,565,6.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,0.03,0.05,0.07,0.03,0.07,Matches
4,5,Nathan Aké,nl NED,DF,Manchester City,26-284,1995,4,3,285,3.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.06,0.0,0.06,0.06,0.06,Matches
5,6,Marc Albrighton,eng ENG,"MF,FW",Leicester City,32-011,1989,5,3,297,3.3,1,0,1,0,0,1,0,0.3,0.0,0.3,0.3,0.3,0.0,0.0,0.2,0.3,0.01,0.07,0.08,0.01,0.08,Matches
6,7,Thiago Alcántara,es ESP,MF,Liverpool,30-232,1991,7,4,341,3.8,1,1,1,0,0,0,0,0.26,0.26,0.53,0.26,0.53,0.7,0.7,0.8,1.5,0.19,0.2,0.39,0.19,0.39,Matches
7,8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23-053,1998,11,11,964,10.7,1,7,1,0,0,1,0,0.09,0.65,0.75,0.09,0.75,1.2,1.2,5.0,6.2,0.12,0.47,0.58,0.12,0.58,Matches
8,9,Alisson,br BRA,GK,Liverpool,29-058,1992,12,12,1080,12.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
9,10,Allan,br BRA,MF,Everton,30-325,1991,13,13,1141,12.7,0,1,0,0,0,1,0,0.0,0.08,0.08,0.0,0.08,0.1,0.1,0.4,0.5,0.01,0.03,0.04,0.01,0.04,Matches
10,11,Dele Alli,eng ENG,MF,Tottenham,25-232,1996,8,6,516,5.7,1,0,0,1,1,1,0,0.17,0.0,0.17,0.0,0.0,1.1,0.3,0.0,0.3,0.18,0.0,0.18,0.05,0.05,Matches
11,12,Miguel Almirón,py PAR,MF,Newcastle Utd,27-292,1994,11,8,721,8.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.4,1.0,0.07,0.05,0.12,0.07,0.12,Matches
12,13,Marcos Alonso,es ESP,DF,Chelsea,30-336,1990,7,7,612,6.8,1,1,1,0,0,2,0,0.15,0.15,0.29,0.15,0.29,0.9,0.9,1.2,2.1,0.13,0.18,0.31,0.13,0.31,Matches
