Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,21,17,2,2,53,13,40,53,49.2,14.4,34.8,1.66,W W W W W,52619,"Raheem Sterling, Bernardo Silva - 7",Ederson,,2.342857142857143,0.6857142857142857,0.5037302936889633
Chelsea,2,21,12,7,2,45,16,29,43,38.7,20.3,18.3,0.87,D D W D D,37552,Mason Mount - 7,Edouard Mendy,,1.842857142857143,0.9666666666666667,0.38034875658925854
Liverpool,3,20,12,6,2,52,18,34,42,49.3,20.3,29.0,1.45,W W D L D,52941,Mohamed Salah - 16,Alisson,,2.465,1.0150000000000001,0.36240242983249027
Arsenal,4,20,11,2,7,33,25,8,35,29.8,28.3,1.5,0.07,W W W W L,59453,Emile Smith Rowe - 8,Aaron Ramsdale,,1.49,1.415,0.24292561344874244
West Ham,5,20,10,4,6,37,27,10,34,28.9,25.1,3.9,0.19,D L L W W,56669,Michail Antonio - 8,Łukasz Fabiański,,1.4449999999999998,1.2550000000000001,0.28507584822445353
Tottenham,6,18,10,3,5,23,20,3,33,27.4,18.9,8.5,0.47,W D W D W,54566,Son Heung-min - 8,Hugo Lloris,,1.5222222222222221,1.0499999999999998,0.34993774911115544
Manchester Utd,7,19,9,4,6,30,27,3,31,26.7,28.2,-1.5,-0.08,W W D W L,73015,Cristiano Ronaldo - 8,David de Gea,,1.4052631578947368,1.4842105263157894,0.22668122891833334
Wolves,8,19,8,4,7,14,14,0,28,18.5,24.8,-6.2,-0.33,L L W D W,30494,Hwang Hee-chan - 4,José Sá,,0.9736842105263158,1.305263157894737,0.27110118324097393
Brighton,9,19,6,9,4,20,20,0,27,21.6,23.5,-1.9,-0.1,D L W D W,30725,Neal Maupay - 7,Robert Sánchez,,1.1368421052631579,1.236842105263158,0.2902995072708592
Leicester City,10,18,7,4,7,31,33,-2,25,27.2,31.3,-4.1,-0.23,D L W L W,32428,Jamie Vardy - 9,Kasper Schmeichel,,1.511111111111111,1.738888888888889,0.17571553167041465
Crystal Palace,11,20,5,8,7,29,30,-1,23,25.0,23.3,1.7,0.09,W D L W L,24271,Conor Gallagher - 6,Vicente Guaita,,1.25,1.165,0.31192266203264674
Brentford,12,19,6,5,8,23,26,-3,23,22.4,22.0,0.4,0.02,D W L L W,16817,Ivan Toney - 4,Álvaro Fernández,,1.1789473684210525,1.1578947368421053,0.3141468469837144
Aston Villa,13,19,7,1,11,25,30,-5,22,19.4,26.8,-7.3,-0.39,W L W L L,41836,Ollie Watkins - 5,Emiliano Martínez,,1.0210526315789472,1.4105263157894736,0.244014820497547
Southampton,14,19,4,9,6,20,29,-9,21,23.4,27.2,-3.8,-0.2,D L D W D,29644,James Ward-Prowse - 5,Alex McCarthy,,1.2315789473684209,1.431578947368421,0.23893136420131686
Everton,15,18,5,4,9,23,32,-9,19,22.5,26.8,-4.4,-0.24,L W L D L,37898,Demarai Gray - 5,Jordan Pickford,,1.25,1.488888888888889,0.2256232087716122
Leeds United,16,19,4,7,8,21,37,-16,19,24.0,34.0,-10.0,-0.53,D L L L W,36188,Raphael Dias Belloli - 8,Illan Meslier,,1.263157894736842,1.7894736842105263,0.1670480665692844
Watford,17,18,4,1,13,22,36,-14,13,20.2,36.0,-15.8,-0.88,L L L L L,20529,Emmanuel Dennis - 8,Daniel Bachmann,,1.1222222222222222,2.0,0.1353352832366127
Burnley,18,17,1,8,8,16,27,-11,11,16.9,25.8,-8.9,-0.52,D L D L L,18464,Maxwel Cornet - 6,Nick Pope,,0.9941176470588234,1.5176470588235293,0.21922710906276432
Newcastle Utd,19,19,1,8,10,19,42,-23,11,16.7,34.4,-17.7,-0.93,W L L L D,50866,Callum Wilson - 6,Karl Darlow,,0.8789473684210526,1.8105263157894735,0.163568025709294
Norwich City,20,19,2,4,13,8,42,-34,10,17.1,33.4,-16.3,-0.86,L L L L L,26931,Teemu Pukki - 5,Tim Krul,,0.9,1.7578947368421052,0.1724074450669121
