,General,General,General,General,General,General,General,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,General
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
0,1,Max Aarons,eng ENG,DF,Norwich City,22-115,2000,29,27,2431,27.0,0,1,0,0,0,6,0,0.0,0.04,0.04,0.0,0.04,0.7,0.7,1.1,1.7,0.02,0.04,0.06,0.02,0.06,Matches
1,2,Che Adams,sct SCO,FW,Southampton,25-290,1996,27,22,1938,21.5,7,3,7,0,0,0,0,0.33,0.14,0.46,0.33,0.46,6.8,6.8,2.6,9.5,0.32,0.12,0.44,0.32,0.44,Matches
2,3,Rayan Aït Nouri,fr FRA,DF,Wolves,20-327,2001,18,15,1378,15.3,0,2,0,0,0,4,0,0.0,0.13,0.13,0.0,0.13,0.4,0.4,1.2,1.6,0.03,0.08,0.11,0.03,0.11,Matches
3,4,Kristoffer Ajer,no NOR,DF,Brentford,24-012,1998,20,19,1667,18.5,0,3,0,0,0,4,0,0.0,0.16,0.16,0.0,0.16,0.4,0.4,1.2,1.6,0.02,0.06,0.09,0.02,0.09,Matches
4,5,Nathan Aké,nl NED,DF,Manchester City,27-070,1995,12,9,834,9.3,1,0,1,0,0,0,0,0.11,0.0,0.11,0.11,0.11,0.7,0.7,0.5,1.2,0.08,0.05,0.13,0.08,0.13,Matches
5,6,Marc Albrighton,eng ENG,"FW,DF",Leicester City,32-162,1989,15,10,997,11.1,1,1,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,0.5,0.5,1.3,1.8,0.05,0.12,0.17,0.05,0.17,Matches
6,7,Thiago Alcántara,es ESP,MF,Liverpool,31-018,1991,21,15,1357,15.1,1,2,1,0,0,2,0,0.07,0.13,0.2,0.07,0.2,1.7,1.7,1.8,3.6,0.12,0.12,0.24,0.12,0.24,Matches
7,8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23-204,1998,29,29,2583,28.7,2,12,2,0,0,2,0,0.07,0.42,0.49,0.07,0.49,2.3,2.3,10.4,12.7,0.08,0.36,0.44,0.08,0.44,Matches
8,9,Alisson,br BRA,GK,Liverpool,29-209,1992,31,31,2790,31.0,0,1,0,0,0,0,0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.4,0.4,0.0,0.01,0.01,0.0,0.01,Matches
9,10,Allan,br BRA,MF,Everton,31-111,1991,26,25,2153,23.9,0,2,0,0,0,7,1,0.0,0.08,0.08,0.0,0.08,0.2,0.2,0.9,1.1,0.01,0.04,0.04,0.01,0.04,Matches
10,11,Dele Alli,eng ENG,MF,Everton,26-018,1996,8,0,226,2.5,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.03,0.1,0.13,0.03,0.13,Matches
11,12,Dele Alli,eng ENG,"MF,FW",Tottenham,26-018,1996,10,8,657,7.3,1,0,0,1,1,1,0,0.14,0.0,0.14,0.0,0.0,1.5,0.7,0.8,1.5,0.2,0.11,0.31,0.1,0.21,Matches
12,13,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,28-078,1994,26,15,1384,15.4,1,0,1,0,0,2,0,0.07,0.0,0.07,0.07,0.07,2.0,2.0,0.6,2.6,0.13,0.04,0.17,0.13,0.17,Matches
13,14,Marcos Alonso,es ESP,DF,Chelsea,31-122,1990,24,21,1852,20.6,3,4,3,0,0,7,0,0.15,0.19,0.34,0.15,0.34,3.1,3.1,4.0,7.1,0.15,0.19,0.34,0.15,0.34,Matches
14,15,Steven Alzate,co COL,MF,Brighton,23-233,1998,9,5,404,4.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.02,0.04,0.06,0.02,0.06,Matches
15,16,Daniel Amartey,gh GHA,DF,Leicester City,27-129,1994,22,19,1720,19.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.01,0.01,0.0,0.01,Matches
16,17,Joachim Andersen,dk DEN,DF,Crystal Palace,25-333,1996,29,27,2466,27.4,0,3,0,0,0,4,0,0.0,0.11,0.11,0.0,0.11,0.5,0.5,1.8,2.3,0.02,0.07,0.08,0.02,0.08,Matches
17,18,Michail Antonio,jm JAM,FW,West Ham,32-032,1990,32,31,2727,30.3,8,7,8,0,1,8,1,0.26,0.23,0.5,0.26,0.5,9.9,9.6,6.3,15.9,0.33,0.21,0.53,0.32,0.52,Matches
18,19,Cameron Archer,eng ENG,"MF,FW",Aston Villa,20-282,2001,3,0,27,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
19,20,Alphonse Areola,fr FRA,GK,West Ham,29-061,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
20,21,Adam Armstrong,eng ENG,"FW,MF",Southampton,25-078,1997,21,15,1261,14.0,2,2,2,0,0,1,0,0.14,0.14,0.29,0.14,0.29,4.1,4.1,1.7,5.8,0.29,0.12,0.41,0.29,0.41,Matches
21,22,Stuart Armstrong,sct SCO,MF,Southampton,30-030,1992,21,13,1255,13.9,2,0,2,0,0,1,0,0.14,0.0,0.14,0.14,0.14,2.6,2.6,1.2,3.7,0.19,0.08,0.27,0.19,0.27,Matches
