,name,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,team_name,gameweek,season,data_retrieved_datetime
10,Thomas Partey,,,167199.0,0.0,0.0,0.0,0.0,0.0,3.0,2.6,2.6,3.0,Thomas,3.0,20.0,False,,,50.0,167199.jpg,3.0,Partey,0.1,False,,a,1.0,3.0,3.0,2905.0,2905.0,1305.0,1305.0,0.6,0.6,Thomas,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,14.4,43.6,1.0,5.9,1.0,0.06,0.06,0.12,0.47,111.0,38.0,8.0,6.0,191.0,106.0,42.0,33.0,,,,,,,0.06,0.0,0.06,0.12,0.47,0.0,209.0,133.0,71.0,25.0,71.0,25.0,414.0,146.0,1.0,1.0,Arsenal,1.0,24-25,2024-08-21 23:11:51.786906
11,Leandro Trossard,,,116216.0,0.0,0.0,0.0,0.0,0.0,3.0,3.5,3.5,1.0,Leandro,1.0,23.0,False,,,70.0,116216.jpg,1.0,Trossard,1.9,False,,a,1.0,3.0,1.0,2454.0,2454.0,28561.0,28561.0,0.1,0.1,Trossard,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.2,0.3,0.0,0.5,0.0,0.00,0.00,0.00,0.15,230.0,105.0,258.0,142.0,614.0,278.0,270.0,132.0,4.0,,,,,,0.0,0.0,0.0,0.0,1.35,0.0,27.0,15.0,286.0,144.0,286.0,144.0,142.0,48.0,0.0,0.0,Arsenal,1.0,24-25,2024-08-21 23:11:51.786906
12,Benjamin White,,,198869.0,0.0,0.0,0.0,0.0,0.0,2.0,4.6,4.6,6.0,Benjamin,6.0,24.0,False,,,65.0,198869.jpg,6.0,White,10.4,False,,a,1.0,3.0,6.0,12772.0,12772.0,31184.0,31184.0,0.9,0.9,White,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,5.8,1.3,8.0,1.5,1.0,0.07,0.06,0.13,0.47,210.0,84.0,205.0,58.0,96.0,17.0,227.0,77.0,,,,,,,0.07,0.0,0.06,0.13,0.47,0.0,47.0,2.0,52.0,21.0,52.0,21.0,40.0,13.0,1.0,1.0,Arsenal,1.0,24-25,2024-08-21 23:11:51.786906
13,Oleksandr Zinchenko,,,206325.0,0.0,0.0,0.0,0.0,0.0,2.0,3.4,3.4,6.0,Oleksandr,6.0,25.0,False,,,50.0,206325.jpg,6.0,Zinchenko,3.2,False,,a,1.0,3.0,6.0,31808.0,31808.0,12837.0,12837.0,1.2,1.2,Zinchenko,68.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,7.2,4.9,6.0,1.8,1.0,0.00,0.04,0.04,0.32,193.0,79.0,131.0,28.0,115.0,27.0,197.0,62.0,,,,,,,0.0,0.0,0.05,0.05,0.42,0.0,233.0,27.0,40.0,14.0,40.0,14.0,102.0,39.0,1.32,1.32,Arsenal,1.0,24-25,2024-08-21 23:11:51.786906
14,Leon Bailey,,,215711.0,0.0,0.0,0.0,0.0,0.0,3.0,1.3,2.3,1.0,Leon,1.0,28.0,False,,,65.0,215711.jpg,1.0,Bailey,3.5,False,,a,2.0,7.0,1.0,10752.0,10752.0,32728.0,32728.0,0.2,0.2,Bailey,73.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,30.5,13.0,4.2,1.0,0.21,0.21,0.42,1.39,607.0,275.0,25.0,22.0,74.0,48.0,79.0,53.0,3.0,,4.0,,,,0.26,0.0,0.26,0.52,1.71,1.23,52.0,32.0,280.0,140.0,280.0,140.0,98.0,32.0,1.23,0.0,Aston Villa,1.0,24-25,2024-08-21 23:11:51.786906
15,Matty Cash,,,199796.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9,1.9,2.0,Matty,2.0,32.0,False,,,45.0,199796.jpg,2.0,Cash,3.3,False,,a,2.0,7.0,2.0,18792.0,18792.0,15674.0,15674.0,0.4,0.4,Cash,81.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,12.4,2.0,2.3,1.0,0.00,0.01,0.01,1.41,170.0,68.0,96.0,18.0,165.0,46.0,158.0,43.0,,,,,,,0.0,0.0,0.01,0.01,1.57,1.11,391.0,87.0,105.0,35.0,105.0,35.0,100.0,37.0,1.11,0.0,Aston Villa,1.0,24-25,2024-08-21 23:11:51.786906
16,Lucas Digne,,,101188.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9,1.9,2.0,Lucas,2.0,36.0,False,,,45.0,101188.jpg,2.0,Digne,2.3,False,,a,2.0,7.0,2.0,7239.0,7239.0,8797.0,8797.0,0.4,0.4,Digne,73.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.4,19.2,0.0,3.4,1.0,0.00,0.13,0.13,1.39,110.0,45.0,49.0,5.0,292.0,115.0,95.0,16.0,4.0,,2.0,,,,0.0,0.0,0.16,0.16,1.71,1.23,350.0,59.0,95.0,30.0,95.0,30.0,126.0,47.0,1.23,0.0,Aston Villa,1.0,24-25,2024-08-21 23:11:51.786906
17,Jhon Durán,,,476344.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,6.0,Jhon,6.0,38.0,False,,,60.0,476344.jpg,6.0,Durán,0.5,False,,a,2.0,7.0,6.0,15470.0,15470.0,4178.0,4178.0,1.0,1.0,Duran,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,34.4,2.1,23.0,6.0,0.0,0.38,0.00,0.38,1.17,23.0,6.0,170.0,16.0,38.0,10.0,40.0,7.0,,,,,,,1.22,0.0,0.0,1.22,3.76,0.0,92.0,27.0,50.0,8.0,50.0,8.0,239.0,40.0,0.0,0.0,Aston Villa,1.0,24-25,2024-08-21 23:11:51.786906
18,Ezri Konsa Ngoyo,,,199798.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9,1.9,2.0,Ezri,2.0,44.0,False,,,45.0,199798.jpg,2.0,Konsa Ngoyo,12.7,False,,a,2.0,7.0,2.0,27515.0,27515.0,44059.0,44059.0,0.4,0.4,Konsa,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13.4,14.1,7.0,3.5,1.0,0.07,0.01,0.08,2.46,124.0,53.0,81.0,13.0,100.0,19.0,92.0,15.0,,,,,,,0.07,0.0,0.01,0.08,2.46,1.0,392.0,88.0,106.0,36.0,106.0,36.0,35.0,10.0,1.0,0.0,Aston Villa,1.0,24-25,2024-08-21 23:11:51.786906
19,Ian Maatsen,,,441302.0,0.0,0.0,0.0,0.0,0.0,2.0,1.4,2.4,1.0,Ian,1.0,45.0,False,,,50.0,441302.jpg,1.0,Maatsen,3.5,False,,a,2.0,7.0,1.0,8457.0,8457.0,28681.0,28681.0,0.2,0.2,Maatsen,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.8,10.5,0.0,1.9,0.0,0.00,0.04,0.04,1.06,174.0,71.0,110.0,23.0,515.0,192.0,190.0,58.0,,,,,,,0.0,0.0,0.22,0.22,5.96,0.0,278.0,38.0,243.0,87.0,243.0,87.0,94.0,36.0,0.0,0.0,Aston Villa,1.0,24-25,2024-08-21 23:11:51.786906
