id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,clean_sheet_points,xA,xA_points,adjusted points per game,next10_xP,next1_xP,next5_xP
84,0,0,301,0.0,,12,40145,0,0,0,0,198.2,169,111,0,3,0.0,,0,Jack,0.0,41,0,82.4,172,90,False,313.2,198,83,2614,Ankle injury - Unknown return date,2020-08-15T10:00:11.504829Z,50,0,0,0,40145.jpg,2.3,0,0,Cork,0.1,False,,i,4,90,311.0,112,62,70,0,0,0,0,0.0,14.0,Cork,1,Burnley,30.434782608695656,77.25114240592248,1.7,8.5,8.651142405922492,0.7,2.1,2.5382518219088808,2.5244667304956785,2.3899957409516026,2.586541657326981
85,0,0,93,,,2,41674,0,0,0,0,1.3,355,134,0,2,0.0,,0,Kevin,0.0,5,0,13.0,337,122,False,104.8,314,118,562,,,45,0,0,0,41674.jpg,2.6,0,0,Long,0.2,False,,a,4,90,24.0,305,111,21,0,0,0,0,0.0,4.7,Long,0,Burnley,8.076923076923077,23.383520400133108,0.2,1.2000000000000002,9.183520400133109,0.0,0.0,2.8951025257307657,2.852609549682808,2.5179295352736277,2.9985844685040224
86,2,9,282,,,7,44683,0,0,0,0,135.0,208,31,0,4,0.0,,0,Jay,0.0,34,8,137.8,73,20,False,431.4,148,18,2002,,,60,0,0,0,44683.jpg,2.8,0,0,Rodriguez,1.1,False,,a,4,90,827.0,35,19,100,0,0,0,0,0.0,16.7,Rodriguez,1,Burnley,35.714285714285715,97.94241953385128,8.0,31.52,0.0,1.0,3.0,2.7423877469478355,2.732565521709628,2.574753121891809,2.8120330760065695
87,0,6,161,,,8,44699,0,0,0,0,85.1,241,38,0,4,0.0,,0,Ashley,0.0,21,6,75.9,184,30,False,226.2,251,27,1350,,,60,0,0,0,44699.jpg,3.2,0,0,Barnes,0.6,False,,a,4,90,474.0,68,30,61,0,0,0,0,0.0,10.2,Barnes,4,Burnley,19.0625,60.42,5.6,21.92,0.0,0.5,1.5,3.1695737704918034,3.1570887832011953,2.9564941360369636,3.2580996418764423
88,2,6,549,,,13,51927,0,0,0,0,105.8,224,62,0,2,0.0,,0,Ben,0.0,45,1,112.9,108,24,False,658.8,56,22,2880,,,50,0,0,0,51927.jpg,3.4,0,0,Mee,2.1,False,,a,4,90,362.0,92,12,110,0,0,0,0,0.0,22.0,Mee,7,Burnley,32.35294117647059,96.20794942794187,1.7,10.2,36.785529894090594,0.6,1.7999999999999998,2.9737002550454763,2.928947873892386,2.557966295107078,3.093202703173451
89,7,11,567,,,15,60551,0,0,0,0,814.2,15,12,0,3,0.0,,0,Ashley,0.0,39,2,154.7,54,31,False,596.8,75,23,3150,,,55,0,0,0,60551.jpg,3.4,0,0,Westwood,1.4,False,,a,4,90,135.0,208,109,118,0,0,0,0,0.0,21.5,Westwood,9,Burnley,34.70588235294117,108.14367865825831,1.2,6.0,9.865210289778839,5.1,15.3,3.1160043003226967,3.0995217644580446,2.921711290027932,3.1834205965867666
90,1,1,98,,,3,60586,0,0,0,0,215.4,161,106,0,3,0.0,,0,Johann Berg,0.0,7,1,44.1,273,125,False,118.6,304,129,617,,,55,0,0,0,60586.jpg,2.5,0,0,Gudmundsson,0.3,False,,a,4,90,108.0,228,117,30,0,0,0,0,0.0,5.5,Gudmundsson,0,Burnley,12.0,31.022231629832223,1.1,5.5,3.4110218629065825,0.8,2.4000000000000004,2.5851859691526853,2.568250160195972,2.3831570066685894,2.6558162370865617
91,1,21,384,,,11,60689,0,0,0,0,299.6,118,15,0,4,0.0,,0,Chris,0.0,33,14,190.8,40,15,False,552.2,93,14,2436,,,65,1,0,0,60689.jpg,4.2,0,0,Wood,3.5,False,,a,4,90,1070.0,23,14,136,0,0,0,0,0.0,20.9,Wood,1,Burnley,32.38095238095238,131.53120976692566,12.9,51.12000000000001,0.0,0.9,2.7,4.061993242802116,4.045103029041115,3.773730188119983,4.181754749663262
92,1,1,270,,,6,68983,0,0,0,0,181.7,181,42,0,2,0.0,,0,Matthew,0.0,31,0,49.2,260,84,False,294.2,209,79,1530,,,45,0,0,0,68983.jpg,2.8,0,0,Lowton,0.2,False,,a,4,90,15.0,318,119,48,0,0,0,0,0.0,10.7,Lowton,2,Burnley,17.142857142857142,44.50276326924897,0.0,0.0,19.491553502323328,1.1,3.3000000000000003,2.595994524039523,2.5530551439163256,2.2112028139988364,2.702641733130673
93,1,3,112,,,5,81183,0,0,0,0,113.3,219,35,0,4,0.0,,0,Matej,0.0,7,2,53.3,248,36,False,144.2,295,36,807,,,50,0,0,0,81183.jpg,2.1,0,0,Vydra,0.6,False,,a,4,90,273.0,128,34,39,0,0,0,0,0.0,7.8,Vydra,0,Burnley,18.57142857142857,46.51120976692564,3.7,14.8,0.0,1.0,3.0,2.5044497566806116,2.494709828364803,2.3382196823648704,2.5735115523645775
94,0,0,0,0.0,,0,83312,0,0,0,0,0.0,366,138,0,2,0.0,,0,Ben,0.0,0,0,0.0,386,139,False,0.0,386,139,0,Joined Norwich City on loan until the end of the season on 4/9. - Expected back 01 Jul,2020-09-05T11:00:07.592134Z,40,0,0,0,83312.jpg,0.0,0,0,Gibson,1.3,False,,n,4,90,0.0,345,131,0,0,0,0,0,0.0,0.0,Gibson,0,Burnley,,,,,,,,,,,
95,2,0,112,,,1,90517,0,0,0,0,102.1,226,128,0,3,0.0,,0,Robbie,0.0,10,1,34.9,290,130,False,118.6,303,128,445,,,50,0,0,0,90517.jpg,1.9,0,0,Brady,0.1,False,,a,4,90,128.0,216,112,32,0,0,0,0,0.0,6.4,Brady,1,Burnley,16.842105263157894,32.609818639685066,1.1,5.5,4.7873991058338,0.3,0.8999999999999999,1.9362079817313007,1.9221006083515837,1.782451556879558,1.9867829850276846
