id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,clean_sheet_points,xGA_week12,cleansheet_week12,xA,xA_points,xG_week12,goals_week12,xPoints week 12,xA_week12,assists_week12,adjusted points per game,xPoints week 1,xG_week1,goals_week1,xGA_week1,cleansheet_week1,xA_week1,assists_week1,xPoints week 2,xG_week2,goals_week2,xGA_week2,cleansheet_week2,xA_week2,assists_week2,xPoints week 3,xG_week3,goals_week3,xGA_week3,cleansheet_week3,xA_week3,assists_week3,xPoints week 4,xG_week4,goals_week4,xGA_week4,cleansheet_week4,xA_week4,assists_week4,xPoints week 5,xG_week5,goals_week5,xGA_week5,cleansheet_week5,xA_week5,assists_week5,xPoints week 6,xG_week6,goals_week6,xGA_week6,cleansheet_week6,xA_week6,assists_week6,xPoints week 7,xG_week7,goals_week7,xGA_week7,cleansheet_week7,xA_week7,assists_week7,xPoints week 8,xG_week8,goals_week8,xGA_week8,cleansheet_week8,xA_week8,assists_week8,xPoints week 9,xG_week9,goals_week9,xGA_week9,cleansheet_week9,xA_week9,assists_week9,xPoints week 10,xG_week10,goals_week10,xGA_week10,cleansheet_week10,xA_week10,assists_week10,xPoints week 11,xG_week11,goals_week11,xGA_week11,cleansheet_week11,xA_week11,assists_week11,form 10,form 5,next1_xP,next5_xP,next10_xP,value,valuePoints metric,xG+xA,xG+xA per game
85,0,1,76,100.0,100.0,1,41674,,,0,0,-1,1,11.5,333,118,,,0,2,-0.5,-1.0,0,Kevin,0.0,12,0,12.2,306,103,False,94.2,221,85,540,,2020-10-12T20:30:21.362818Z,44,0,0,,0,,41674.jpg,1.8,0,0,Long,0.2,False,,a,4,90,16.0,298,101,11,9948,72,14961,303,0.0,2.5,Long,2,Burnley,6.1111111111111125,12.865749358144571,0.0,0.0,5.865749358144572,1.3999999999999986,0.0,0.0,0.0,,,,,,2.1053044404236574,,,,,,,,0.9863878557664258,0.0,0.0,1.4,0.0,0.0,0.0,4.195246544376106,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,1.5413411329464508,0.0,0.0,2.0,0.0,0.0,0.0,4.4715177646857684,0.0,0.0,1.0,1.0,0.0,0.0,3.1952465443761064,0.0,0.0,0.5999999999999996,0.0,0.0,0.0,1.4715177646857691,0.0,0.0,1.0,0.0,0.0,0.0,,,,1.3000000000000007,0.0,,,,,,1.7999999999999992,0.0,,,,,,2.9000000000000004,0.0,,,,,,1.7000000000000008,0.0,,,2.97497395021404,,1.7058458796018523,2.10791846086453,1.9025941902826515,0.47847828191446756,1.0036645114582916,0.0,0.0
86,1,0,43,100.0,100.0,1,44683,,,0,0,-2,2,41.3,225,36,,,0,4,1.7,1.2,1,Jay,2.2,11,0,16.9,253,38,False,31.8,334,38,465,,2020-09-24T00:00:15.736033Z,58,0,0,3.0,0,,44683.jpg,1.6,0,0,Rodriguez,0.3,False,,a,4,90,98.0,125,38,14,11336,218,49699,365,0.4,2.4,Rodriguez,2,Burnley,8.75,14.778476821192053,0.4,1.6,0.0,1.3999999999999986,0.0,0.4,1.2000000000000002,0.0,0.0,1.0,0.0,0.0,1.6889687795648058,,,,,,,,2.2,0.3,0.0,1.4,0.0,0.0,0.0,,,,0.6000000000000001,0.0,,,,,,2.0,0.0,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5999999999999996,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,0.1,0.0,1.0,0.0,0.0,1.3000000000000007,0.0,0.0,0.0,3.3179039301310045,0.10000000000000003,0.0,1.7999999999999992,1.0,0.30000000000000004,1.0,2.0,0.0,0.0,2.9000000000000004,0.0,0.0,0.0,2.0,0.0,0.0,1.7000000000000008,0.0,0.0,0.0,1.5772379912663756,1.8635807860262008,1.6561413313927529,1.7382067941370147,1.6984050540887208,0.29120151371806996,0.7013061137847243,0.8,0.09142857142857143
87,0,0,15,100.0,100.0,2,44699,,,0,0,0,0,110.3,111,16,,,0,4,0.5,0.0,1,Ashley,1.0,12,0,28.5,173,29,False,25.4,347,39,507,,2020-09-07T00:30:12.603985Z,60,0,0,1.0,0,,44699.jpg,1.6,0,0,Barnes,0.1,False,,a,4,90,152.0,71,29,13,9412,158,14142,309,0.2,2.2,Barnes,1,Burnley,8.125,17.8,0.9,3.6,0.0,1.3999999999999986,0.0,0.4,1.2000000000000002,0.0,0.0,1.6,0.2,0.0,2.190769230769231,,,,,,,,,,,,,,,,,,,,,,1.8,0.2,0.0,2.0,0.0,0.0,0.0,3.5,0.3,0.0,1.0,1.0,0.1,0.0,2.4,0.09999999999999998,0.0,0.5999999999999996,0.0,0.0,0.0,2.8000000000000003,0.20000000000000007,0.0,1.0,0.0,0.0,0.0,2.3,0.0,0.0,1.3000000000000007,1.0,0.1,0.0,,,,1.7999999999999992,0.0,,,2.4,0.09999999999999998,0.0,2.9000000000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.7000000000000008,0.0,0.0,0.0,2.225,1.825,2.1301647110669792,2.281670180748693,2.20819004527492,0.36512820512820515,0.8943777932623707,1.3,0.16
88,0,3,106,100.0,100.0,3,51927,,,0,0,-1,1,0.9,390,151,,,0,2,3.3,2.8,7,Ben,3.8,6,0,14.7,275,87,False,123.0,179,72,450,,2020-09-07T00:30:12.617922Z,49,0,0,,0,,51927.jpg,4.6,0,0,Mee,0.2,False,,a,4,90,22.0,273,83,23,9948,656,23460,301,0.8,4.7,Mee,0,Burnley,5.0,18.19924947484556,0.4,2.4000000000000004,4.79924947484556,1.3999999999999986,1.0,0.0,0.0,0.30000000000000004,0.0,5.786387855766428,0.0,0.0,3.6398498949691116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.690127172136049,0.1,0.0,1.3000000000000007,1.0,0.0,0.0,2.6611955528863467,0.0,0.0,1.7999999999999992,1.0,0.0,0.0,0.22009288022562884,0.0,0.0,2.9000000000000004,0.0,0.0,0.0,2.730734096210938,0.0,0.0,1.7000000000000008,0.0,0.0,0.0,3.4177075114450783,3.4177075114450783,3.191150161889228,3.7163209372682977,3.4512940566139783,0.7428265091773697,1.6443165727467206,0.4,0.08
89,2,2,185,,,4,60551,1.0,,0,0,-2,2,240.6,23,18,4.0,,0,3,3.7,3.2,6,Ashley,4.2,18,1,46.4,75,42,False,166.8,120,45,990,,,53,0,0,,0,,60551.jpg,3.5,0,0,Westwood,0.5,False,,a,4,90,56.0,190,100,38,15943,1488,47280,442,0.8,7.2,Westwood,1,Burnley,10.857142857142858,32.76226050015741,0.2,1.0,2.605306857773304,1.3999999999999986,1.0,1.4,4.199999999999998,0.0,0.0,4.4250737851336615,0.3999999999999999,1.0,3.0175766250144984,,,,,,,,2.8465969639416064,0.0,0.0,1.4,0.0,0.2,0.0,2.8488116360940263,0.0,0.0,0.6000000000000001,0.0,0.09999999999999998,0.0,3.635335283236613,0.1,1.0,2.0,0.0,0.0,0.0,1.9678794411714424,0.0,0.0,1.0,1.0,0.2,0.0,3.4488116360940264,0.0,0.0,0.5999999999999996,0.0,0.30000000000000004,0.0,2.3678794411714423,0.0,0.0,1.0,0.0,0.0,0.0,2.2725317930340125,0.0,0.0,1.3000000000000007,1.0,0.0,0.0,2.665298888221587,0.1,0.0,1.7999999999999992,1.0,0.0,0.0,2.655023220056407,0.0,0.0,2.9000000000000004,0.0,0.2,0.0,4.205651721932593,0.0,0.0,1.7000000000000008,0.0,0.0,1.0,3.049229684614581,3.2447158816756527,2.8685787975778485,3.091925184829832,2.981022433888396,0.5693540801914149,1.3107515263169613,1.5999999999999999,0.14736842105263157
90,0,0,26,25.0,25.0,2,60586,3.0,,0,0,-1,1,32.0,251,145,3.0,,0,3,0.1,0.0,0,Johann Berg,0.8,2,0,7.1,338,154,False,14.4,372,159,239,Hamstring injury - 25% chance of playing,2020-12-11T16:00:20.140410Z,54,0,0,,0,,60586.jpg,2.2,0,0,Gudmundsson,0.0,False,,d,4,90,24.0,268,141,9,10240,5,14234,40,0.1,1.7,Gudmundsson,0,Burnley,4.090909090909091,10.281664665309322,0.4,2.0,0.9816646653093192,1.3999999999999986,0.0,0.1,0.30000000000000004,,,,,,2.5132958070756115,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.3678794411714423,0.0,0.0,1.0,1.0,0.0,0.0,3.0488116360940265,0.1,0.0,0.5999999999999996,0.0,0.0,0.0,,,,1.0,0.0,,,,,,1.3000000000000007,0.0,,,3.9652988882215854,0.30000000000000004,0.0,1.7999999999999992,1.0,0.1,0.0,,,,2.9000000000000004,0.0,,,,,,1.7000000000000008,0.0,,,2.595497491371764,3.9652988882215854,2.355755164178984,2.6004577683439463,2.479197254641405,0.46542514945844654,1.081550311655197,0.5,0.12222222222222222
91,0,2,60,,,4,60689,,,0,0,-3,3,75.6,160,24,,,0,4,3.0,2.5,2,Chris,3.5,17,2,47.8,69,20,False,103.2,211,25,938,,,62,0,0,1.0,0,,60689.jpg,2.9,0,0,Wood,0.9,False,,a,4,90,308.0,33,17,32,95339,902,190524,1520,0.6,5.2,Wood,0,Burnley,11.034482758620687,40.5,3.9,15.6,0.0,1.3999999999999986,1.0,0.3,0.8999999999999999,0.19999999999999973,0.0,3.0999999999999988,0.09999999999999998,0.0,3.6703125,,,,,,,,5.9,0.9,1.0,1.4,0.0,0.1,0.0,2.4,0.09999999999999998,0.0,0.6000000000000001,0.0,0.0,0.0,2.8,0.2,0.0,2.0,0.0,0.0,0.0,4.8,0.7,0.0,1.0,1.0,0.0,0.0,2.3,0.0,0.0,0.5999999999999996,0.0,0.1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.3000000000000007,1.0,0.0,0.0,8.8,1.2000000000000002,1.0,1.7999999999999992,1.0,0.0,0.0,2.0,0.0,0.0,2.9000000000000004,0.0,0.0,0.0,4.4,0.6000000000000001,0.0,1.7000000000000008,0.0,0.0,0.0,3.46,4.0600000000000005,3.5169147075163343,3.900394433328144,3.714406810153255,0.5919858870967742,1.4740329715562266,4.2,0.3806250000000001
92,0,2,122,100.0,100.0,3,68983,,,0,0,-1,1,38.6,235,58,,,0,2,3.3,2.8,8,Matthew,3.8,10,0,14.5,277,88,False,102.8,212,82,630,,2020-09-30T20:00:20.120303Z,44,0,0,,0,,68983.jpg,3.4,0,0,Lowton,0.1,False,,a,4,90,3.0,353,131,24,6594,1316,9688,138,0.9,5.5,Lowton,1,Burnley,7.0588235294117645,19.675411023311373,0.0,0.0,6.775411023311379,1.3999999999999986,1.0,0.3,0.8999999999999999,0.0,0.0,4.986387855766427,0.0,0.0,2.7873498949691116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.195246544376106,0.0,0.0,0.5999999999999996,0.0,0.0,0.0,3.0715177646857685,0.0,0.0,1.0,0.0,0.2,0.0,3.0901271721360497,0.0,0.0,1.3000000000000007,1.0,0.0,0.0,1.661195552886347,0.0,0.0,1.7999999999999992,1.0,0.0,0.0,0.22009288022562884,0.0,0.0,2.9000000000000004,0.0,0.0,0.0,3.0307340962109377,0.0,0.0,1.7000000000000008,0.0,0.09999999999999998,0.0,2.8936145523267527,2.5977075114450785,2.3748116477662538,2.8095821868410984,2.588399410458728,0.6334886124929798,1.3288169239953393,0.3,0.0425
93,0,0,23,,,0,81183,,,-1,1,-2,2,28.5,258,42,,,0,4,0.0,-0.5,1,Matej,0.5,2,0,12.9,293,41,False,12.6,379,43,159,,,48,0,0,,0,,81183.jpg,1.1,0,0,Vydra,0.6,False,,a,4,90,88.0,138,40,8,71826,936,86961,1067,0.1,1.7,Vydra,0,Burnley,7.2727272727272725,10.8,0.4,1.6,0.0,1.3999999999999986,0.0,0.4,1.2000000000000002,0.10000000000000003,0.0,1.4,0.0,0.0,1.485,,,,,,,,3.0,0.2,0.0,1.4,0.0,0.4,0.0,2.4,0.09999999999999998,0.0,0.6000000000000001,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,1.0,0.0,,,1.0,0.0,0.0,0.5999999999999996,0.0,0.0,0.0,,,,1.0,0.0,,,1.0,0.0,0.0,1.3000000000000007,0.0,0.0,0.0,,,,1.7999999999999992,0.0,,,1.0,0.0,0.0,2.9000000000000004,0.0,0.0,0.0,,,,1.7000000000000008,0.0,,,1.3,1.1333333333333333,1.445504476417999,1.5442394862821889,1.4963530177865854,0.309375,0.6778066649126431,0.8,0.11000000000000001
94,0,0,0,0.0,0.0,0,83312,,,0,0,-1,1,0.0,414,164,,,0,2,0.0,0.0,0,Ben,0.0,0,0,0.0,437,164,False,0.0,434,164,0,Joined Norwich City on loan until the end of the season on 4/9. - Expected back 01 Jul,2020-09-05T11:00:07.592134Z,39,0,0,,0,,83312.jpg,0.0,0,0,Gibson,0.1,False,,n,4,90,0.0,373,141,0,5562,39,16399,171,0.0,0.0,Gibson,0,Burnley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
