id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,xG_week6,goals_week6,xPoints week 6,clean_sheet_points,xGA_week6,cleansheet_week6,xA,xA_points,xA_week6,assists_week6,adjusted points per game,xPoints week 1,xG_week1,goals_week1,xGA_week1,cleansheet_week1,xA_week1,assists_week1,xPoints week 2,xG_week2,goals_week2,xGA_week2,cleansheet_week2,xA_week2,assists_week2,xPoints week 3,xG_week3,goals_week3,xGA_week3,cleansheet_week3,xA_week3,assists_week3,xPoints week 4,xG_week4,goals_week4,xGA_week4,cleansheet_week4,xA_week4,assists_week4,xPoints week 5,xG_week5,goals_week5,xGA_week5,cleansheet_week5,xA_week5,assists_week5,next1_xP,next5_xP,next10_xP,form 5,value,valuePoints metric,xG+xA,xG+xA per game
265,0,0,0,0.0,0.0,0,444884,,,0,0,-1,1,0.0,454,185,,,0,3,0.0,0.0,0,Harvey,0.0,0,0,0.0,476,185,False,0.0,471,185,0,Joined Blackburn Rovers on loan until the end of the season on 16/10. - Expected back 01 Jul,2020-10-16T21:30:11.725544Z,44,0,0,,0,,444884.jpg,0.0,0,0,Elliott,0.2,False,,n,11,14,0.0,424,172,0,9813,64,12535,815,0.0,0.0,Elliott,0,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,0,2,57,,,0,194634,,,0,0,-2,2,36.0,151,92,,,0,3,5.5,5.5,9,Diogo,4.5,9,2,24.0,73,43,False,80.4,126,47,194,,,63,0,0,,0,,194634.jpg,4.5,0,0,Jota,1.9,False,,a,11,14,124.0,38,20,18,123700,21539,234773,4209,0.7,2.9,Jota,0,Liverpool,4.0,12.821158630319635,0.8,4.0,0.20000000000000007,1.0,5.22313016014843,0.8211586303196371,1.5,0.0,0.0,0.0,0.0,0.0,3.205289657579909,,,,,,,,,,,,,,,2.5,0.3,1.0,1.1999999999999995,0.0,0.0,0.0,3.020241911445805,0.2,0.0,3.9,0.0,0.0,0.0,1.5,0.09999999999999998,0.0,1.2999999999999998,0.0,0.0,0.0,3.016224654114944,3.0552061854745443,3.2365923029340897,3.0608430178985584,0.508776136123795,1.2770179666477164,0.8,0.2
531,0,0,22,75.0,75.0,0,61558,,,0,0,0,0,44.6,134,84,,,0,3,1.1,1.1,0,Thiago,0.5,2,0,7.7,259,118,False,20.2,298,123,135,Knock - 75% chance of playing,2020-09-28T21:00:20.374299Z,60,0,0,,0,,61558.jpg,1.5,0,0,Alcántara do Nascimento,1.8,False,,d,11,14,12.0,240,121,3,295432,3228,240613,10842,0.1,0.5,Thiago,0,Liverpool,2.0,4.010579315159818,0.0,0.0,,,,0.41057931515981855,1.5,0.0,0.2,0.6000000000000001,,,2.005289657579909,,,,,,,,,,,1.0,,,,,,,1.1999999999999995,0.0,,,,,,3.9,0.0,,,2.8725317930340126,0.0,0.0,1.2999999999999998,0.0,0.2,0.0,1.939757130851076,1.9643421488723405,2.036738572099156,2.8725317930340126,0.3342149429299848,0.8186560745918631,0.2,0.1
560,0,0,0,,,0,200720,,,0,0,0,0,0.0,482,46,,,0,1,1.0,1.0,0,Caoimhin,0.0,0,0,0.0,499,61,False,0.0,494,61,0,,,45,0,0,,0,,200720.jpg,0.0,0,0,Kelleher,0.0,False,,a,11,14,0.0,456,44,0,369,29,214,58,0.0,0.0,Kelleher,0,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,0,0,0,,,0,197464,,,0,0,0,0,0.0,390,149,,,0,2,2.1,2.1,0,Nathaniel,0.0,0,0,0.0,412,149,False,0.0,408,150,0,,,40,0,0,,0,,197464.jpg,0.0,0,0,Phillips,0.0,False,,a,11,14,0.0,351,126,0,211,211,34,34,0.0,0.0,Phillips,0,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,0,0,24,0.0,0.0,0,27789,,,0,0,0,0,13.2,251,76,,,0,2,0.0,0.0,0,Fernando,0.7,2,0,7.7,258,88,False,33.4,261,105,154,Muscle injury - Expected back 05 Dec,2020-10-21T21:30:14.233293Z,55,0,0,,0,,27789.jpg,1.2,0,0,Luiz Rosa,1.0,False,,i,12,43,30.0,176,46,5,38436,42,66768,11860,0.1,0.9,Fernandinho,0,Manchester City,4.166666666666667,11.252255032764172,0.3,1.7999999999999998,,,,4.452255032764174,0.5,0.0,0.0,0.0,,,2.700541207863401,,,,,,,,3.4715177646857693,0.0,0.0,1.0,0.0,0.0,0.0,2.2,0.2,0.0,2.6,0.0,0.0,0.0,1.6,0.09999999999999998,0.0,1.6,0.0,0.0,0.0,1.0,0.0,0.0,0.8999999999999995,0.0,0.0,0.0,2.972863302434212,2.595638822724208,2.7302936020477064,2.0678794411714425,0.4910074923388002,1.1515146401286451,0.3,0.072
267,0,0,0,0.0,0.0,0,33148,,,0,0,0,0,0.0,459,36,,,0,1,0.0,0.0,0,Claudio,0.0,0,0,0.0,480,55,False,0.0,475,55,0,Contract expired,2020-08-18T13:59:17.226190Z,45,0,0,,0,,33148.jpg,0.0,0,0,Bravo,0.0,False,,u,12,43,0.0,429,33,0,380,9,1335,49,0.0,0.0,Bravo,0,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,0,0,16,0.0,100.0,1,37572,,,0,0,-1,1,36.8,149,21,,,0,4,0.0,2.0,1,Sergio,1.0,1,0,5.8,287,38,False,4.0,361,40,109,Muscle injury - Expected back 21 Nov,2020-10-24T14:30:20.763977Z,104,0,0,2.0,0,,37572.jpg,1.5,0,0,Agüero,2.3,False,,i,12,43,18.0,220,40,3,192222,4308,313002,49757,0.1,0.3,Agüero,0,Manchester City,2.0,5.199999999999998,0.1,0.4,0.0,0.0,1.0,0.0,0.5,0.0,0.6,1.7999999999999998,0.0,0.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.199999999999998,0.1,0.0,0.8999999999999995,1.0,0.6,0.0,2.579701488806246,2.6964120783105407,2.6788800153507397,2.599999999999999,0.25,0.806225774829855,0.7,0.35
269,0,0,0,0.0,0.0,0,57410,,,0,0,-1,1,0.0,523,205,,,0,2,0.0,0.0,0,Nicolás,0.0,0,0,0.0,537,205,False,0.0,533,205,0,Joined Benfica on a permanent deal on 29/9,2020-09-24T23:30:12.376512Z,49,0,0,,0,,57410.jpg,0.0,0,0,Otamendi,0.3,False,,u,12,43,0.0,510,196,0,5289,12,39565,917,0.0,0.0,Otamendi,0,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,0,1,76,,,1,58621,,,0,0,0,0,62.5,94,19,,,0,2,4.7,4.7,2,Kyle,3.7,8,0,18.3,116,33,False,72.6,151,59,437,,,60,0,0,,0,,58621.jpg,2.6,0,0,Walker,6.2,False,,a,12,43,48.0,119,24,13,199067,23412,172891,10525,0.6,2.2,Walker,0,Manchester City,5.0,15.242706039317007,0.1,0.6000000000000001,0.0,0.0,4.426122638850534,5.342706039317008,0.5,0.0,0.1,0.30000000000000004,0.0,0.0,3.0485412078634018,,,,,,,,4.071517764685768,0.1,0.0,1.0,0.0,0.0,0.0,0.2970943128573355,0.0,0.0,2.6,0.0,0.0,0.0,3.1075860719786217,0.0,0.0,1.6,0.0,0.1,0.0,4.626278638962396,0.0,0.0,0.8999999999999995,1.0,0.0,0.0,3.3255135068167814,2.9215516920567026,3.0602229076219016,3.3057198854669307,0.5080902013105669,1.244561736518874,0.2,0.04
