id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,xG_week2,goals_week2,xPoints week 2,clean_sheet_points,xGA_week2,cleansheet_week2,xA,xA_points,xA_week2,assists_week2,adjusted points per game,xPoints week 1,next1_xP,next5_xP,next10_xP,value,valuePoints metric
278,0,0,11,,,0,121160,,,0,0,0,0,0.0,532,59,,,0,1,2.5,3.0,2,Ederson,2.0,1,0,0.5,280,21,False,5.0,240,21,90,,,60,0,0,,0,,121160.jpg,2.0,0,0,Santana de Moraes,5.6,False,,a,12,43,0.0,526,59,2,60292,30458,49347,28982,0.3,0.3,Ederson,0,Manchester City,1.0,3.4715177646857693,0.0,0.0,0.0,0.0,3.4715177646857693,1.4715177646857691,1.0,0.0,0.0,0.0,0.0,0.0,3.4715177646857693,,3.1323618769396098,3.4199562547230284,3.255403268657178,0.5785862941142949,1.4172411927478963
279,0,0,12,,,0,126184,,,0,0,0,0,0.4,258,90,,,0,2,2.5,3.0,2,Nathan,2.0,1,0,0.8,272,94,False,7.4,223,90,90,,,55,0,0,,0,,126184.jpg,2.0,0,0,Aké,7.9,False,,a,12,43,0.0,493,192,2,120004,76513,87161,47845,0.4,0.4,Aké,0,Manchester City,1.0,3.4715177646857693,0.0,0.0,0.0,0.0,3.4715177646857693,1.4715177646857691,1.0,0.0,0.0,0.0,0.0,0.0,3.4715177646857693,,3.1323618769396098,3.4199562547230284,3.255403268657178,0.6311850481246853,1.480260148544467
280,0,0,0,25.0,0.0,0,146941,,,0,0,0,0,0.0,533,200,,,0,2,0.1,0.0,0,Aymeric,0.0,0,0,0.0,533,200,False,0.0,529,200,0,Lack of match fitness - 25% chance of playing,2020-09-18T13:30:12.276549Z,60,0,0,,0,,146941.jpg,0.0,0,0,Laporte,3.3,False,,d,12,43,0.0,528,200,0,25921,1858,132760,81308,0.0,0.0,Laporte,0,Manchester City,,,,,,,,,,,,,,,,,,,,,
281,0,0,0,0.0,75.0,0,165809,4.0,,0,0,0,0,0.0,544,220,,,0,3,0.0,0.8,0,Bernardo Mota,0.0,0,0,0.0,544,220,False,0.0,543,219,0,Muscle injury - Expected back 17 Oct,2020-09-08T22:30:12.089513Z,75,0,0,,0,,165809.jpg,0.0,0,0,Veiga de Carvalho e Silva,0.5,False,,i,12,43,0.0,543,219,0,2911,964,26177,13729,0.0,0.0,Bernardo Silva,0,Manchester City,,,,,,,,,,,,,,,,,,,,,
282,0,1,28,25.0,,0,205651,,,0,0,0,0,13.8,117,17,,,0,4,1.6,7.0,6,Gabriel Fernando,6.0,1,1,10.6,50,16,False,47.0,53,11,90,Unknown - 25% chance of playing,2020-09-25T18:00:17.193627Z,95,0,0,5.0,0,,205651.jpg,6.0,0,0,de Jesus,3.0,False,,d,12,43,45.0,34,20,6,119478,74047,59903,43986,0.6,0.6,Jesus,1,Manchester City,1.0,4.1,0.3,1.2,0.3,1.0,4.1,0.0,1.0,0.0,0.3,0.8999999999999999,0.3,0.0,4.1,,3.9562094641905023,4.220782963524884,4.2387261721418215,0.431578947368421,1.3302156532722527
283,0,0,0,0.0,,0,206325,,,0,0,0,0,0.0,512,197,,,0,2,0.0,1.0,0,Oleksandr,0.0,0,0,0.0,514,197,False,0.0,507,197,0,Muscle injury - Expected back 17 Oct,2020-09-21T22:00:11.933319Z,55,0,0,,0,,206325.jpg,0.0,0,0,Zinchenko,0.4,False,,i,12,43,0.0,504,197,0,2415,998,10515,7821,0.0,0.0,Zinchenko,0,Manchester City,,,,,,,,,,,,,,,,,,,,,
284,0,2,37,,,0,209244,5.0,,0,0,0,0,18.8,93,61,,,0,3,9.5,10.0,9,Phil,9.0,1,1,8.8,72,38,False,46.4,55,23,90,,,65,0,0,,0,,209244.jpg,9.0,0,0,Foden,6.9,False,,a,12,43,23.0,84,41,9,275347,215606,104504,64834,1.4,1.4,Foden,0,Manchester City,1.0,6.367879441171442,0.4,2.0,0.4,1.0,6.367879441171442,0.3678794411714423,1.0,0.0,0.0,0.0,0.0,0.0,6.367879441171442,,6.146147101797286,6.470020457513981,6.445970981108887,0.9796737601802218,2.4976878100568847
285,0,0,0,,,0,220394,,,0,0,0,0,0.0,395,155,,,0,3,0.5,1.0,0,Tommy,0.0,0,0,0.0,410,154,False,0.0,403,151,0,,,45,0,0,,0,,220394.jpg,0.0,0,0,Doyle,0.1,False,,a,12,43,0.0,356,126,0,1512,803,1897,1043,0.0,0.0,Doyle,0,Manchester City,,,,,,,,,,,,,,,,,,,,,
286,0,0,8,,,0,220566,,,0,0,0,0,16.2,101,66,,,0,3,1.5,2.0,1,Rodrigo,1.0,1,0,2.9,200,94,False,12.0,200,77,90,,,55,0,0,,0,,220566.jpg,1.0,0,0,Hernandez,0.5,False,,a,12,43,1.0,215,107,1,6833,3085,10977,6158,0.2,0.2,Rodrigo,1,Manchester City,1.0,1.3678794411714423,0.0,0.0,0.0,0.0,1.3678794411714423,0.3678794411714423,1.0,0.0,0.0,0.0,0.0,0.0,1.3678794411714423,,1.2830904692349026,1.354989063680757,1.3138508171642944,0.24870535294026225,0.5832657534917272
287,0,0,2,,,0,224444,,,0,0,0,0,0.3,268,138,,,0,3,1.5,2.0,1,Ferran,1.0,0,0,0.0,543,219,False,0.0,542,218,9,,,70,0,0,,0,,224444.jpg,1.0,0,0,Torres,1.0,False,,a,12,43,0.0,542,218,1,10667,2659,23602,12994,0.1,0.1,Torres,0,Manchester City,1.0,1.3678794411714423,0.0,0.0,0.0,0.0,1.0,0.3678794411714423,1.0,0.0,0.0,0.0,0.0,0.0,1.3678794411714423,,1.2830904692349026,1.354989063680757,1.3138508171642944,0.19541134873877747,0.5170098321225204
288,0,0,0,100.0,,0,432656,,,-1,1,-1,1,0.0,441,176,,,0,2,0.5,1.0,0,Eric,0.0,0,0,0.0,456,176,False,0.0,449,176,0,,2020-09-21T22:00:11.951636Z,49,0,0,,0,,432656.jpg,0.0,0,0,Garcia,0.2,False,,a,12,43,0.0,413,167,0,2420,920,6966,4683,0.0,0.0,Garcia,0,Manchester City,,,,,,,,,,,,,,,,,,,,,
