id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,clean_sheet_points,xGA_week8,cleansheet_week8,xA,xA_points,xG_week8,goals_week8,xPoints week 8,xA_week8,assists_week8,adjusted points per game,xPoints week 1,xG_week1,goals_week1,xGA_week1,cleansheet_week1,xA_week1,assists_week1,xPoints week 2,xG_week2,goals_week2,xGA_week2,cleansheet_week2,xA_week2,assists_week2,xPoints week 3,xG_week3,goals_week3,xGA_week3,cleansheet_week3,xA_week3,assists_week3,xPoints week 4,xG_week4,goals_week4,xGA_week4,cleansheet_week4,xA_week4,assists_week4,xPoints week 5,xG_week5,goals_week5,xGA_week5,cleansheet_week5,xA_week5,assists_week5,xPoints week 6,xG_week6,goals_week6,xGA_week6,cleansheet_week6,xA_week6,assists_week6,xPoints week 7,xG_week7,goals_week7,xGA_week7,cleansheet_week7,xA_week7,assists_week7,form 5,next1_xP,next5_xP,next10_xP,value,valuePoints metric,xG+xA,xG+xA per game
402,0,0,0,75.0,75.0,0,199584,,,0,0,-1,1,0.0,553,213,,,0,2,-0.4,0.8,0,Japhet,0.0,0,0,0.0,564,213,False,0.0,562,213,0,Lack of match fitness - 75% chance of playing,2020-10-05T10:00:16.076802Z,49,0,0,,0,,199584.jpg,0.0,0,0,Tanganga,0.0,False,,d,17,6,0.0,543,208,0,554,10,6392,50,0.0,0.0,Tanganga,0,Tottenham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,0,0,19,100.0,100.0,1,200826,2.0,,0,0,-1,1,85.6,91,62,2.0,,0,3,0.3,1.8,1,Giovani,0.8,1,0,19.1,156,78,False,28.6,302,127,184,,2020-10-01T22:30:14.884729Z,69,0,0,,0,,200826.jpg,1.2,0,0,Lo Celso,0.4,False,,a,17,6,77.0,98,54,6,5279,165,33208,389,0.1,0.9,Lo Celso,1,Tottenham,5.0,11.164355418490398,0.6,3.0,1.6643554184903977,0.8000000000000007,0.0,0.5,1.5,0.2,0.0,2.0,0.0,0.0,2.2328710836980803,,,,,,,,0.8,0.1,0.0,1.6,0.0,0.1,0.0,4.206569659740599,0.30000000000000004,0.0,0.8999999999999999,1.0,0.1,0.0,,,,1.0000000000000004,0.0,,,,,,2.1,0.0,,,1.8000000000000005,0.10000000000000003,0.0,0.5,0.0,0.09999999999999998,0.0,1.6,0.0,0.0,0.5,0.0,0.2,0.0,1.8,2.2175348449670587,2.1343364414690043,2.1991881044463253,0.32360450488377973,0.8500394940880253,1.1,0.22000000000000003
404,0,0,0,0.0,0.0,0,209042,,,0,0,-1,1,0.0,468,185,,,0,3,0.0,0.0,0,Oliver,0.0,0,0,0.0,488,184,False,0.0,485,184,0,Joined Norwich City on loan until the end of the season on 17/8. - Expected back 01 Jul,2020-08-18T09:30:16.995257Z,44,0,0,,0,,209042.jpg,0.0,0,0,Skipp,0.0,False,,n,17,6,0.0,438,171,0,1114,28,2130,37,0.0,0.0,Skipp,0,Tottenham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,0,0,76,75.0,,3,231372,,,0,0,-1,1,92.8,77,51,,,0,3,1.5,3.5,3,Tanguy,2.5,4,1,24.9,107,58,False,81.0,181,70,416,Foot injury - 75% chance of playing,2020-11-08T14:30:16.993452Z,59,0,0,,0,,231372.jpg,2.4,0,0,Ndombele,0.3,False,,d,17,6,75.0,102,58,19,21339,335,22300,1793,0.4,3.2,Ndombele,2,Tottenham,7.916666666666668,18.5352294126098,0.5,2.5,2.6352294126097964,0.8000000000000007,1.0,0.8,2.4000000000000004,0.0,0.0,4.249328964117222,0.6000000000000001,0.0,2.3412921363296584,1.2465969639416066,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,1.0,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,4.367879441171442,0.4,1.0,1.0000000000000004,0.0,0.0,0.0,2.122456428252982,0.0,0.0,2.1,1.0,0.0,0.0,3.2065306597126333,0.0,0.0,0.5,1.0,0.2,0.0,2.106530659712633,0.09999999999999998,0.0,0.5,0.0,0.0,0.0,3.2105452305933824,2.3305647875888083,2.2574169249292635,2.30760907689245,0.3968291756490946,0.9638947185317522,1.3,0.16421052631578945
406,0,0,0,0.0,0.0,0,234908,,,0,0,-2,2,0.0,438,180,,,0,2,0.0,0.0,0,Juan,0.0,0,0,0.0,460,181,False,0.0,457,181,0,Joined Villarreal on loan until the end of the season on 4/10. - Expected back 01 Jul,2020-10-05T21:30:11.646440Z,43,0,0,,0,,234908.jpg,0.0,0,0,Foyth,0.1,False,,n,17,6,0.0,406,166,0,1346,8,8444,99,0.0,0.0,Foyth,0,Tottenham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,1,3,97,,,2,87835,,,0,0,-2,2,81.1,96,23,,,1,2,4.5,6.0,12,Matt,5.0,5,0,24.4,112,28,False,113.0,120,46,525,,,58,0,0,,0,,87835.jpg,4.0,0,0,Doherty,8.4,False,,a,17,6,49.0,162,39,24,156604,8173,1140228,10047,0.9,4.1,Doherty,1,Tottenham,6.0,25.145843807796968,0.3,1.7999999999999998,7.98890600875391,0.8000000000000007,1.0,0.4,1.2000000000000002,0.0,0.0,8.854253655511947,0.30000000000000004,1.0,4.190973967966163,4.786387855766426,0.3,0.0,1.4,0.0,0.0,0.0,0.8075860719786215,0.0,0.0,1.6,0.0,0.0,0.0,4.526278638962396,0.10000000000000003,0.0,0.8999999999999999,0.0,0.1,0.0,,,,1.0000000000000004,0.0,,,,,,2.1,0.0,,,4.426122638850534,0.0,0.0,0.5,1.0,0.0,0.0,4.426122638850534,0.0,0.0,0.5,0.0,0.0,0.0,5.902166311071004,4.180464897016063,3.958528372047863,4.056241166516596,0.7225817186148557,1.7402072211214132,0.7,0.11666666666666665
482,0,0,0,100.0,100.0,0,15749,,,0,0,-1,1,0.0,440,23,,,0,1,-0.5,1.0,0,Joe,0.0,0,0,0.0,462,45,False,0.0,459,45,0,,2020-08-20T13:00:12.071870Z,44,0,0,,0,,15749.jpg,0.0,0,0,Hart,0.7,False,,a,17,6,0.0,409,20,0,7121,190,29642,717,0.0,0.0,Hart,0,Tottenham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,0,0,0,0.0,0.0,0,168763,,,0,0,0,0,0.0,411,161,,,0,2,0.0,0.0,0,Cameron,0.0,0,0,0.0,432,161,False,0.0,429,161,0,Joined Bournemouth on loan until the end of the season on 16/10. - Expected back 01 Jul,2020-10-16T21:30:12.318900Z,40,0,0,,0,,168763.jpg,0.0,0,0,Carter-Vickers,0.3,False,,n,17,6,0.0,373,141,0,12516,68,21763,522,0.0,0.0,Carter-Vickers,0,Tottenham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,2,0,85,100.0,75.0,1,199249,5.0,,0,0,1,-1,96.4,70,18,,,0,2,3.0,3.4,6,Sergio,3.5,5,0,25.5,101,25,False,99.2,149,60,360,,2020-11-04T13:30:14.925905Z,56,0,0,,0,,199249.jpg,4.0,0,0,Reguilón,4.0,False,,a,17,6,59.0,134,27,16,372357,10466,115546,13292,0.6,2.9,Reguilón,1,Tottenham,4.0,17.239812937255394,0.2,1.2000000000000002,5.325937339169274,0.8000000000000007,1.0,0.8,2.4000000000000004,0.1,0.0,4.697315856468885,0.10000000000000007,0.0,4.3099532343138485,,,,,,,,,,,,,,,,,,,,,,4.671517764685769,0.1,0.0,1.0000000000000004,0.0,0.2,0.0,3.6808601957705487,0.0,0.0,2.1,0.0,0.3,1.0,,,,0.5,0.0,,,5.214892692326469,0.0,0.0,0.5,0.0,0.2,1.0,4.566146627312918,4.292884694463879,4.05664402897645,4.1752205469859,0.769634506127473,1.8212876568306402,1.0,0.25
543,0,3,33,75.0,100.0,1,36903,4.0,,0,0,0,0,38.5,173,110,3.0,,0,3,2.0,4.2,3,Gareth,3.2,3,1,13.8,215,100,False,41.4,266,111,115,Ankle injury - 75% chance of playing,2020-11-09T00:00:26.443707Z,95,0,0,,0,,36903.jpg,4.3,0,0,Bale,1.1,False,,d,17,6,58.0,137,73,13,146010,2354,76257,8970,0.3,1.4,Bale,0,Tottenham,3.0232558139534884,11.306354439087222,0.6,3.0,1.0063544390872172,0.8000000000000007,1.0,0.1,0.30000000000000004,0.09999999999999998,0.0,2.949328964117221,0.0,0.0,3.7397941606211567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.2,0.0,2.1,0.0,0.0,0.0,,,,0.5,0.0,,,5.8,0.3,1.0,0.5,0.0,0.1,0.0,3.5831096547057406,3.72131694543616,3.6312690592663968,3.706111236016101,0.39366254322327965,1.2133494469449824,0.7,0.23153846153846153
