id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,clean_sheet_points,xGA_week9,cleansheet_week9,xA,xA_points,xG_week9,goals_week9,xPoints week 9,xA_week9,assists_week9,adjusted points per game,xPoints week 1,xG_week1,goals_week1,xGA_week1,cleansheet_week1,xA_week1,assists_week1,xPoints week 2,xG_week2,goals_week2,xGA_week2,cleansheet_week2,xA_week2,assists_week2,xPoints week 3,xG_week3,goals_week3,xGA_week3,cleansheet_week3,xA_week3,assists_week3,xPoints week 4,xG_week4,goals_week4,xGA_week4,cleansheet_week4,xA_week4,assists_week4,xPoints week 5,xG_week5,goals_week5,xGA_week5,cleansheet_week5,xA_week5,assists_week5,xPoints week 6,xG_week6,goals_week6,xGA_week6,cleansheet_week6,xA_week6,assists_week6,xPoints week 7,xG_week7,goals_week7,xGA_week7,cleansheet_week7,xA_week7,assists_week7,xPoints week 8,xG_week8,goals_week8,xGA_week8,cleansheet_week8,xA_week8,assists_week8,form 5,next1_xP,next5_xP,next10_xP,value,valuePoints metric,xG+xA,xG+xA per game
254,1,7,220,100.0,0.0,1,118748,,,-1,1,2,-2,282.7,5,4,2.0,,1,3,6.7,0.0,0,Mohamed,5.7,16,8,118.3,2,1,True,349.8,5,3,719,,2020-11-13T15:30:16.171973Z,122,0,0,2.0,0,,118748.jpg,8.4,0,0,Salah,27.9,False,,a,11,14,551.0,1,1,67,1737598,85667,2166147,138575,0.5,5.5,Salah,0,Liverpool,7.976190476190476,59.021581377553645,5.8,27.08,1.9236774474226364,1.3000000000000007,0.0,2.0,6.0,,,,,,7.399720650320157,14.688811636094027,1.9,3.0,0.6,0.0,0.2,0.0,4.867879441171444,0.20000000000000007,0.0,1.0,1.0,0.5,0.0,6.097745936050132,0.2999999999999998,0.0,1.1999999999999995,0.0,0.30000000000000004,1.0,8.020241911445805,0.7000000000000002,2.0,3.9,0.0,0.5,0.0,4.372531793034011,0.2999999999999998,1.0,1.2999999999999998,0.0,0.2,0.0,6.023130160148427,0.6999999999999997,0.0,1.5,0.0,0.10000000000000007,0.0,8.170320046035641,0.9000000000000004,1.0,0.4000000000000004,0.0,0.0,0.0,8.801896517994654,0.7999999999999998,1.0,1.5999999999999996,0.0,0.2,0.0,6.8419696293031835,6.2776103789985225,7.125340752640195,7.456371084803758,0.6065344795344392,2.1185338593806278,7.8,0.977910447761194
255,3,7,206,100.0,100.0,2,122798,1.0,,0,0,1,-1,234.2,13,2,,,2,2,6.3,5.8,12,Andrew,5.3,16,1,57.0,26,1,False,203.4,36,9,810,,2020-11-15T17:30:20.943553Z,71,0,0,,0,,122798.jpg,4.8,0,0,Robertson,18.6,False,,a,11,14,131.0,59,5,43,1113020,126056,759700,16963,0.7,6.1,Robertson,0,Liverpool,8.958333333333334,40.99590450194843,0.8,4.800000000000002,8.642192711555426,1.3000000000000007,1.0,1.5,4.5,0.0,0.0,8.008031102267053,0.30000000000000004,1.0,4.576287014170989,5.100246544376106,0.0,0.0,0.6,0.0,0.2,1.0,4.071517764685768,0.1,0.0,1.0,1.0,0.0,0.0,8.50477684764881,0.5,1.0,1.1999999999999995,0.0,0.09999999999999998,0.0,0.580967645783218,0.20000000000000007,0.0,3.9,0.0,0.10000000000000003,0.0,6.5811616548946725,0.0,0.0,1.2999999999999998,0.0,0.4,1.0,3.792520640593719,0.0,0.0,1.5,0.0,0.30000000000000004,0.0,4.681280184142556,0.0,0.0,0.4000000000000004,0.0,0.0,0.0,3.1075860719786217,0.0,0.0,1.5999999999999996,0.0,0.09999999999999988,0.0,5.234115930775324,4.251454228265273,4.585685812452838,4.810133500133727,0.6445474667846464,1.7174499125923248,2.3,0.2567441860465116
256,0,0,3,,,0,152760,,,0,0,-3,3,0.1,397,55,,,0,4,1.3,0.8,1,Divock,0.3,0,0,0.0,582,70,False,0.2,416,53,1,,,52,0,0,,0,,152760.jpg,1.0,0,0,Origi,0.6,False,,a,11,14,0.0,569,70,1,17634,562,69631,1178,0.1,0.2,Origi,0,Liverpool,1.0,1.0,0.0,0.0,0.0,1.3000000000000007,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.1923076923076923,0.4385290096535146,0.0,0.0
257,0,0,0,0.0,0.0,0,153682,,,0,0,-4,4,0.0,574,229,,,0,3,0.0,0.0,0,Harry,0.0,0,0,0.0,580,228,False,0.0,579,228,0,Joined Cardiff City on loan until the end of the season on 16/10. - Expected back 01 Jul,2020-10-16T21:30:11.702823Z,51,0,0,,0,,153682.jpg,0.0,0,0,Wilson,0.0,False,,n,11,14,0.0,566,224,0,453,2,5808,32,0.0,0.0,Harry Wilson,0,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,0,0,14,,,0,157882,,,0,0,-5,5,1.6,366,175,,,0,3,1.3,0.8,1,Takumi,0.3,3,0,5.7,333,151,False,9.2,372,164,58,,,60,0,0,,0,,157882.jpg,1.0,0,0,Minamino,0.1,False,,a,11,14,47.0,177,95,5,3713,218,30227,321,0.0,0.8,Minamino,0,Liverpool,5.0,6.7058873551007565,0.1,0.5,1.205887355100757,1.3000000000000007,0.0,0.0,0.0,0.1,0.0,1.5,0.0,0.0,1.3411774710201514,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1999999999999995,0.0,0.0,0.0,1.0,0.0,0.0,3.9,0.0,0.0,0.0,,,,1.2999999999999998,0.0,,,1.0,0.0,0.0,1.5,0.0,0.0,0.0,,,,0.4000000000000004,0.0,,,,,,1.5999999999999996,0.0,,,1.25,1.3026823340353464,1.3548826746635674,1.3997134139482252,0.22352957850335856,0.547533409752624,0.1,0.02
259,1,4,144,0.0,0.0,1,169187,2.0,,0,0,-2,2,225.3,16,4,1.0,,0,2,0.0,0.0,0,Trent,1.3,16,0,45.1,47,5,False,133.2,107,39,690,Calf injury - Unknown return date,2020-11-08T18:30:19.053913Z,73,0,0,,0,,169187.jpg,2.6,0,0,Alexander-Arnold,16.5,False,,i,11,14,93.0,90,12,21,386847,319,2847348,227618,0.2,2.9,Alexander-Arnold,1,Liverpool,8.076923076923077,30.609791455397428,0.7,4.199999999999998,7.7918875252664295,1.3000000000000007,0.0,1.2,3.6,,,,,,3.7897837040015863,3.4952465443761063,0.0,0.0,0.6,0.0,0.1,0.0,5.371517764685769,0.1,0.0,1.0,1.0,0.1,0.0,8.40132857178674,0.1,0.0,1.1999999999999995,0.0,0.4,1.0,-0.3190323542167826,0.09999999999999998,0.0,3.9,0.0,0.0,0.0,2.9901271721360505,0.10000000000000003,0.0,1.2999999999999998,0.0,0.09999999999999998,0.0,4.09252064059372,0.0,0.0,1.5,0.0,0.4000000000000001,0.0,5.581280184142556,0.09999999999999998,0.0,0.4000000000000004,0.0,0.09999999999999988,0.0,4.007586071978622,0.2,0.0,1.5999999999999996,0.0,0.0,0.0,4.167878517212737,3.4843416864614976,3.804337645740128,4.0236639302253625,0.5191484526029571,1.4026618785838327,1.9,0.23523809523809525
260,0,0,94,0.0,0.0,0,171287,,,-1,1,-2,2,18.1,267,78,,,0,2,0.0,0.0,0,Joseph,1.3,14,0,12.5,254,84,False,106.8,159,66,589,Knee injury - Unknown return date,2020-11-12T11:30:20.318274Z,53,0,0,,0,,171287.jpg,1.4,0,0,Gomez,1.8,False,,i,11,14,0.0,574,215,10,108509,66,326981,19994,0.2,1.9,Gomez,0,Liverpool,7.142857142857142,16.890784886290042,0.0,0.0,6.8907848862900405,1.3000000000000007,0.0,0.0,0.0,,,,,,2.364709884080606,3.1952465443761064,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.2047768476488088,0.0,0.0,1.1999999999999995,0.0,0.0,0.0,0.08096764578321752,0.0,0.0,3.9,0.0,0.0,0.0,2.0901271721360506,0.0,0.0,1.2999999999999998,0.0,0.0,0.0,2.8925206405937187,0.0,0.0,1.5,0.0,0.0,0.0,4.681280184142556,0.0,0.0,0.4000000000000004,0.0,0.0,0.0,2.807586071978622,0.0,0.0,1.5999999999999996,0.0,0.0,0.0,3.117878517212737,2.317823304546041,2.448002224901325,2.5990400010878125,0.4461716762416238,1.0271643358320905,0.0,0.0
261,0,0,40,75.0,100.0,1,175592,,,0,0,-3,3,38.3,198,124,,,0,3,1.0,0.8,1,Naby,0.3,7,0,17.6,196,90,False,25.8,318,137,295,Hamstring injury - 75% chance of playing,2020-11-22T21:30:16.687166Z,52,0,0,,0,,175592.jpg,1.6,0,0,Keita,0.2,False,,d,11,14,111.0,72,37,8,14887,172,74392,860,0.1,1.5,Keita,0,Liverpool,5.0,11.305887355100756,0.5,2.5,1.205887355100757,1.3000000000000007,0.0,0.2,0.6000000000000001,0.09999999999999998,0.0,1.8,0.1,0.0,2.2611774710201518,2.0488116360940265,0.1,0.0,0.6,0.0,0.0,0.0,2.3678794411714423,0.0,0.0,1.0,1.0,0.0,0.0,2.6011942119122016,0.0,0.0,1.1999999999999995,0.0,0.1,0.0,2.5,0.30000000000000004,0.0,3.9,0.0,0.0,0.0,,,,1.2999999999999998,0.0,,,,,,1.5,0.0,,,,,,0.4000000000000004,0.0,,,,,,1.5999999999999996,0.0,,,1.8,2.083460175109296,2.237869690542396,2.3194711650648396,0.4348418213500292,0.9915919170173059,0.7,0.13999999999999999
263,0,0,25,,,1,206915,,,0,0,-1,1,50.6,164,102,,,0,3,2.7,2.2,3,Curtis,1.7,4,0,10.7,276,129,False,26.2,316,136,212,,,44,0,0,,0,,206915.jpg,1.8,0,0,Jones,0.6,False,,a,11,14,30.0,216,112,7,41061,5300,41432,2016,0.4,1.6,Jones,0,Liverpool,3.888888888888889,8.23791238730059,0.2,1.0,0.9379123873005888,1.3000000000000007,1.0,0.1,0.30000000000000004,0.2,0.0,3.5725317930340124,0.1,0.0,2.118320328163009,1.5488116360940265,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1.1999999999999995,0.0,,,1.0,0.0,0.0,3.9,0.0,0.0,0.0,,,,1.2999999999999998,0.0,,,,,,1.5,0.0,,,2.670320046035639,0.0,0.0,0.4000000000000004,0.0,0.0,0.0,,,,1.5999999999999996,0.0,,,3.121425919534825,2.0170987239697635,2.115349352147436,2.176747125989777,0.4814364382188656,1.0098695924709375,0.30000000000000004,0.07714285714285715
264,0,0,8,,,0,215136,4.0,,0,0,-1,1,11.7,303,100,,,0,2,1.3,0.8,1,Neco,0.3,0,0,1.9,385,145,False,7.6,377,145,37,,,39,0,0,,0,,215136.jpg,1.0,0,0,Williams,3.8,False,,a,11,14,0.0,359,137,1,149805,18554,186337,7101,0.1,0.3,Neco Williams,0,Liverpool,1.0,2.5647098840806057,0.0,0.0,0.9647098840806057,1.3000000000000007,0.0,0.2,0.6000000000000001,0.0,0.0,1.6,0.2,0.0,2.5647098840806057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,2.3571823519390587,2.605294935530741,2.798760483145444,0.6576179189950271,1.2986913323785083,0.2,0.2
