id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,xG_week10,goals_week10,xPoints week 10,clean_sheet_points,xGA_week10,cleansheet_week10,xA,xA_points,xA_week10,assists_week10,adjusted points per game,xPoints week 1,xG_week1,goals_week1,xGA_week1,cleansheet_week1,xA_week1,assists_week1,xPoints week 2,xG_week2,goals_week2,xGA_week2,cleansheet_week2,xA_week2,assists_week2,xPoints week 3,xG_week3,goals_week3,xGA_week3,cleansheet_week3,xA_week3,assists_week3,xPoints week 4,xG_week4,goals_week4,xGA_week4,cleansheet_week4,xA_week4,assists_week4,xPoints week 5,xG_week5,goals_week5,xGA_week5,cleansheet_week5,xA_week5,assists_week5,xPoints week 6,xG_week6,goals_week6,xGA_week6,cleansheet_week6,xA_week6,assists_week6,xPoints week 7,xG_week7,goals_week7,xGA_week7,cleansheet_week7,xA_week7,assists_week7,xPoints week 8,xG_week8,goals_week8,xGA_week8,cleansheet_week8,xA_week8,assists_week8,xPoints week 9,xG_week9,goals_week9,xGA_week9,cleansheet_week9,xA_week9,assists_week9,form 5,next1_xP,next5_xP,next10_xP,value,valuePoints metric,xG+xA,xG+xA per game
11,3,9,193,,,3,98745,,,1,-1,2,-2,131.6,62,15,,,2,2,3.3,3.8,0,Héctor,3.3,12,0,34.0,94,21,False,153.8,96,33,900,,,52,0,0,,0,,98745.jpg,4.3,0,0,Bellerín,9.7,False,,a,1,3,53.0,175,40,43,661361,27087,318457,39572,0.6,8.3,Bellerín,4,Arsenal,10.0,39.133367916492034,0.1,0.6000000000000001,0.0,0.0,1.886387855766425,9.963012185266725,1.4000000000000004,0.0,1.2,3.6,0.29999999999999993,0.0,3.9133367916492032,4.874923012311927,0.0,0.0,0.2,1.0,0.2,0.0,2.5982744768905404,0.0,0.0,1.9,0.0,0.0,0.0,0.19914827347145586,0.0,0.0,3.0,0.0,0.0,0.0,11.67657590487391,0.0,0.0,0.20000000000000007,0.0,0.2,2.0,2.9863878557664254,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,2.8047768476488084,0.1,0.0,1.2000000000000002,0.0,0.0,0.0,9.452042936202812,0.0,0.0,0.2999999999999989,1.0,0.09999999999999998,1.0,1.6611955528863458,0.0,0.0,1.8000000000000007,0.0,0.0,0.0,6.528339994495593,0.0,0.0,2.5,1.0,0.4,0.0,4.466548637399997,3.4991342930965006,3.905012808688824,4.069106710363895,0.7525647676248467,1.7161117076825871,1.3,0.13
13,0,0,0,75.0,25.0,0,101184,,,0,0,0,0,0.0,504,204,,,0,2,0.0,0.1,0,Calum,0.0,0,0,0.0,520,204,False,0.0,520,204,0,Lack of match fitness - 75% chance of playing,2020-08-15T10:00:11.386295Z,45,0,0,,0,,101184.jpg,0.0,0,0,Chambers,0.0,False,,d,1,3,0.0,474,193,0,394,11,997,29,0.0,0.0,Chambers,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,9,100.0,25.0,0,111457,,,0,0,-2,2,5.4,341,120,,,0,2,0.0,0.1,0,Sead,0.0,1,0,1.3,401,150,False,3.6,407,155,90,,2020-11-18T14:00:19.656655Z,48,0,0,,0,,111457.jpg,2.0,0,0,Kolasinac,0.1,False,,a,1,3,4.0,337,123,2,4759,29,18114,393,0.0,0.4,Kolasinac,0,Arsenal,1.0,2.9963012185266726,0.0,0.0,,,,0.9963012185266726,1.4000000000000004,0.0,0.0,0.0,,,2.9963012185266726,,,,,,,,2.5982744768905404,0.0,0.0,1.9,0.0,0.0,0.0,,,,3.0,0.0,,,,,,0.20000000000000007,0.0,,,,,,1.4000000000000004,0.0,,,,,,1.2000000000000002,0.0,,,,,,0.2999999999999989,0.0,,,,,,1.8000000000000007,0.0,,,,,,2.5,0.0,,,,2.675243632908079,3.0112138088290408,3.155298812202091,0.6242294205263902,1.367618138722729,0.0,0.0
15,0,0,38,,,1,154043,,,0,0,-3,3,4.3,349,127,,,0,2,0.3,0.8,0,Ainsley,0.3,3,0,3.2,368,134,False,20.4,341,137,188,,,47,0,0,,0,,154043.jpg,2.0,0,0,Maitland-Niles,0.9,False,,a,1,3,7.0,318,110,10,47757,278,127604,2614,0.1,2.1,Maitland-Niles,0,Arsenal,5.0,10.981506092633364,0.0,0.0,,,,4.981506092633363,1.4000000000000004,0.0,0.0,0.0,,,2.196301218526673,5.274923012311927,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,1.1991482734714558,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,,,,1.4000000000000004,0.0,,,,,,1.2000000000000002,0.0,,,1.0,0.0,0.0,0.2999999999999989,0.0,0.0,0.0,,,,1.8000000000000007,0.0,,,1.0,0.0,0.0,2.5,0.0,0.0,0.0,1.0,1.875243632908079,2.211213808829041,2.3552988122020917,0.46729813160141975,1.0130782081613618,0.0,0.0
16,0,0,123,100.0,100.0,3,156074,,,0,0,-1,1,4.6,348,126,,,0,2,2.3,2.8,0,Rob,2.3,7,0,13.4,264,86,False,118.4,157,63,585,,2020-10-17T22:30:19.025474Z,44,0,0,,0,,156074.jpg,3.0,0,0,Holding,1.3,False,,a,1,3,11.0,296,99,21,183233,1807,205730,4147,0.5,4.8,Holding,2,Arsenal,7.0,18.97410852968671,0.5,3.0,0.3,0.0,1.7999999999999998,6.974108529686707,1.4000000000000004,0.0,0.0,0.0,0.0,0.0,2.7105869328123866,5.274923012311927,0.0,0.0,0.2,1.0,0.0,0.0,2.5982744768905404,0.0,0.0,1.9,0.0,0.0,0.0,1.1991482734714558,0.0,0.0,3.0,0.0,0.0,0.0,,,,0.20000000000000007,0.0,,,,,,1.4000000000000004,0.0,,,,,,1.2000000000000002,0.0,,,3.9632728827268746,0.0,0.0,0.2999999999999989,1.0,0.0,0.0,3.4611955528863456,0.3,0.0,1.8000000000000007,0.0,0.0,0.0,1.7283399944955955,-0.09999999999999998,0.0,2.5,1.0,0.0,0.0,2.7382021075272043,2.2944835176691925,2.7017887340711355,2.8662909806095116,0.6160424847300878,1.2922216176672832,0.5,0.07142857142857142
17,0,0,156,100.0,100.0,3,192895,,,0,0,-1,1,107.1,91,23,,,0,2,2.3,2.8,0,Kieran,2.3,11,0,30.7,115,28,False,142.2,114,41,800,,2020-10-14T10:30:19.613747Z,54,0,0,,0,,192895.jpg,2.9,0,0,Tierney,4.9,False,,a,1,3,57.0,169,38,26,128618,2467,559889,14027,0.4,4.8,Tierney,1,Arsenal,8.965517241379311,25.33235575230811,0.1,0.6000000000000001,0.0,0.0,0.9863878557664256,8.932355752308101,1.4000000000000004,0.0,0.6,1.7999999999999998,0.0,0.0,2.825531987757442,5.274923012311927,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,1.1991482734714558,0.0,0.0,3.0,0.0,0.0,0.0,5.274923012311927,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,2.9863878557664254,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,4.404776847648808,0.0,0.0,1.2000000000000002,0.0,0.4,0.0,4.963272882726875,0.0,0.0,0.2999999999999989,1.0,0.0,0.0,3.161195552886346,0.1,0.0,1.8000000000000007,0.0,0.29999999999999993,0.0,2.0283399944955955,0.0,0.0,2.5,1.0,-0.09999999999999998,0.0,3.1087946267048103,2.4451073147742517,2.8256344544417957,2.9824723820073418,0.5232466643995263,1.215915370306768,0.7,0.07807692307692306
18,0,0,29,0.0,0.0,0,195735,2.0,,0,0,-4,4,38.5,214,131,3.0,,0,3,0.0,0.0,0,Nicolas,-0.3,6,1,16.2,228,108,False,41.2,298,127,277,Suspended until 16 Dec,2020-11-22T18:30:18.803078Z,76,0,0,2.0,0,,195735.jpg,1.4,1,0,Pépé,0.7,False,,s,1,3,83.0,123,66,11,22188,71,133186,2488,0.0,1.4,Pépé,0,Arsenal,7.857142857142858,12.357020250677396,0.7,3.5,,,,1.9570202506773928,1.4000000000000004,0.0,0.3,0.8999999999999999,,,1.5727116682680318,2.118730753077981,0.0,0.0,0.2,0.0,0.1,0.0,1.5,0.1,0.0,1.9,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.5,0.1,1.0,0.20000000000000007,0.0,0.0,0.0,3.2465969639416064,0.2,0.0,1.4000000000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,,,,0.2999999999999989,0.0,,,2.0,0.2,0.0,1.8000000000000007,0.0,0.0,0.0,-0.9,0.09999999999999998,0.0,2.5,0.0,0.2,0.0,0.7000000000000001,1.3682540546179045,1.5454577181599611,1.6081575000725832,0.20693574582474103,0.5704824817996762,1.0,0.12727272727272726
19,0,0,0,0.0,0.0,0,198849,,,0,0,-3,3,0.0,535,213,,,0,3,0.0,0.0,0,Lucas,0.0,0,0,0.0,548,212,False,0.0,547,212,0,Joined Atletico Madrid on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05T22:30:19.674811Z,47,0,0,,0,,198849.jpg,0.0,0,0,Torreira,0.1,False,,n,1,3,0.0,514,203,0,3345,55,16606,120,0.0,0.0,Torreira,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,13,,,0,200089,,,0,0,-2,2,6.5,335,168,,,0,3,1.0,1.5,2,Joseph,1.0,2,0,4.8,353,161,False,11.6,372,162,146,,,48,0,0,,0,,200089.jpg,1.5,0,0,Willock,0.1,False,,a,1,3,30.0,228,119,3,3044,151,7368,195,0.2,0.6,Willock,0,Arsenal,2.0,3.4981506092633365,0.0,0.0,0.0,0.0,2.2465969639416064,0.4981506092633363,1.4000000000000004,0.0,0.0,0.0,0.0,0.0,1.7490753046316685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,2.5,0.0,0.0,0.0,1.6232984819708032,1.6688109082270202,1.7528034522072606,1.788824703050523,0.36439068846493095,0.7983399992683208,0.0,0.0
21,0,0,2,100.0,100.0,0,200641,5.0,,0,0,-3,3,9.7,327,164,,,0,3,0.7,1.2,1,Reiss,0.7,0,0,2.4,381,168,False,4.2,404,176,70,,2020-11-06T01:00:21.188918Z,52,0,0,,0,,200641.jpg,1.0,0,0,Nelson,0.0,False,,a,1,3,10.0,303,152,2,1333,79,5200,110,0.1,0.4,Nelson,0,Arsenal,2.0,2.4981506092633365,0.0,0.0,0.0,0.0,1.0,0.4981506092633363,1.4000000000000004,0.0,0.0,0.0,0.0,0.0,1.2490753046316685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,2.5,0.0,0.0,0.0,1.0,1.1688109082270202,1.2528034522072606,1.2888247030505229,0.24020678935224393,0.5477557563227876,0.0,0.0
