id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,xG_week4,goals_week4,xPoints week 4,clean_sheet_points,xGA_week4,cleansheet_week4,xA,xA_points,xA_week4,assists_week4,adjusted points per game,xPoints week 1,xG_week1,goals_week1,xGA_week1,cleansheet_week1,xA_week1,assists_week1,xPoints week 2,xG_week2,goals_week2,xGA_week2,cleansheet_week2,xA_week2,assists_week2,xPoints week 3,xG_week3,goals_week3,xGA_week3,cleansheet_week3,xA_week3,assists_week3,next1_xP,next5_xP,next10_xP,value,valuePoints metric
11,2,3,81,,,1,98745,,,0,0,0,0,60.8,51,11,,,0,2,4.0,5.0,11,Héctor,4.5,5,0,15.1,90,20,False,77.8,70,23,360,,,50,0,0,,0,,98745.jpg,4.5,0,0,Bellerín,5.3,False,,a,1,3,12.0,201,60,18,173430,56400,144064,21146,0.9,3.6,Bellerín,2,Arsenal,4.0,16.254500237984807,0.0,0.0,0.0,0.0,11.67657590487391,4.2528473454228255,0.20000000000000012,0.0,0.4,1.2000000000000002,0.2,2.0,4.063625059496202,4.8749230123119265,0.0,0.0,0.2,1.0,0.2,0.0,2.5982744768905404,0.0,0.0,1.9,0.0,0.0,0.0,0.19914827347145586,0.0,0.0,3.0,0.0,0.0,0.0,3.89372386888252,3.933395540925818,3.8747794192805576,0.8127250118992404,1.817308373621027
13,0,0,0,0.0,0.0,0,101184,,,0,0,0,0,0.0,431,175,,,0,2,0.0,0.0,0,Calum,0.0,0,0,0.0,448,175,False,0.0,443,175,0,Knee injury - Expected back 24 Oct,2020-08-15T10:00:11.386295Z,45,0,0,,0,,101184.jpg,0.0,0,0,Chambers,0.0,False,,i,1,3,0.0,391,159,0,235,28,667,72,0.0,0.0,Chambers,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,9,,,0,111457,,,0,0,-1,1,5.4,244,75,,,0,2,0.0,1.0,0,Sead,0.5,1,0,1.3,323,121,False,3.6,324,122,90,,,49,0,0,,0,,111457.jpg,2.0,0,0,Kolasinac,0.2,False,,a,1,3,4.0,253,83,2,3704,299,11279,1500,0.1,0.4,Kolasinac,0,Arsenal,1.0,3.0632118363557064,0.0,0.0,,,,1.0632118363557064,0.20000000000000012,0.0,0.0,0.0,,,3.0632118363557064,,,,,,,,2.5982744768905404,0.0,0.0,1.9,0.0,0.0,0.0,,,,3.0,0.0,,,2.8287361170542007,2.8514607204214606,2.8573356714254508,0.6251452727256543,1.383818051210144
15,0,0,33,,,1,154043,,,-1,1,-1,1,4.3,251,79,,,0,2,1.5,2.5,1,Ainsley,2.0,3,0,3.2,284,102,False,20.2,249,98,183,,,49,0,0,,0,,154043.jpg,2.7,0,0,Maitland-Niles,1.6,False,,a,1,3,7.0,230,69,8,40513,2195,75140,10316,0.4,1.6,Maitland-Niles,0,Arsenal,2.962962962962963,7.150257292905796,0.0,0.0,0.0,0.0,1.0,3.1502572929057964,0.20000000000000012,0.0,0.0,0.0,0.0,0.0,2.4132118363557065,5.274923012311927,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,1.1991482734714558,0.0,0.0,3.0,0.0,0.0,0.0,2.1787361170542012,2.2014607204214607,2.207335671425451,0.49249221150116457,1.0901779827659372
16,0,0,58,,,1,156074,,,0,0,0,0,1.6,288,105,,,0,2,1.7,2.7,0,Rob,2.2,4,0,6.8,213,66,False,66.2,98,35,270,,,45,0,0,,0,,156074.jpg,3.0,0,0,Holding,2.4,False,,a,1,3,0.0,402,164,9,156147,5168,98581,19662,0.5,2.0,Holding,0,Arsenal,3.0,8.18963550906712,0.0,0.0,,,,3.1896355090671187,0.20000000000000012,0.0,0.0,0.0,,,2.7298785030223733,5.274923012311927,0.0,0.0,0.2,1.0,0.0,0.0,2.5982744768905404,0.0,0.0,1.9,0.0,0.0,0.0,1.1991482734714558,0.0,0.0,3.0,0.0,0.0,0.0,2.495402783720868,2.518127387088128,2.524002338092118,0.6066396673383052,1.2868770675350008
17,0,0,55,100.0,100.0,1,192895,,,0,0,-1,1,24.5,144,39,,,0,2,1.7,2.7,2,Kieran,2.2,4,0,8.3,178,52,False,56.6,122,46,270,,2020-09-19T22:00:11.526248Z,54,0,0,,0,,192895.jpg,3.0,0,0,Tierney,6.6,False,,a,1,3,2.0,276,97,9,80161,6087,398445,30436,0.4,1.7,Tierney,0,Arsenal,3.0,8.18963550906712,0.0,0.0,0.0,0.0,5.274923012311927,3.1896355090671187,0.20000000000000012,0.0,0.0,0.0,0.0,0.0,2.7298785030223733,5.274923012311927,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,1.1991482734714558,0.0,0.0,3.0,0.0,0.0,0.0,2.495402783720868,2.518127387088128,2.524002338092118,0.5055330561152543,1.1747526643750317
18,0,0,30,,,0,195735,1.0,,-1,1,-3,3,20.0,165,100,3.0,,0,3,1.7,2.7,6,Nicolas,2.2,2,1,9.0,167,82,False,37.4,195,81,95,,,77,0,0,2.0,0,,195735.jpg,2.2,0,0,Pépé,0.9,False,,a,1,3,33.0,122,63,9,10171,3556,100395,5020,0.3,1.2,Pépé,0,Arsenal,4.090909090909091,6.387375741727428,0.2,1.0,0.1,1.0,1.5,1.087375741727427,0.20000000000000012,0.0,0.1,0.30000000000000004,0.0,0.0,1.5613585146444822,2.118730753077981,0.0,0.0,0.2,0.0,0.1,0.0,1.5,0.1,0.0,1.9,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.5711407522439855,1.5947732424981969,1.5279292144059144,0.20277383307071198,0.5626745514167626
19,0,0,0,0.0,,0,198849,,,0,0,-2,2,0.0,472,191,,,0,3,0.0,0.5,0,Lucas,0.0,0,0,0.0,485,190,False,0.0,481,190,0,Joined Atletico Madrid on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05T22:30:19.674811Z,48,0,0,,0,,198849.jpg,0.0,0,0,Torreira,0.2,False,,n,1,3,0.0,443,174,0,3114,304,11989,2337,0.0,0.0,Torreira,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,0,,,0,200089,,,0,0,-1,1,0.0,499,201,,,0,3,-0.5,0.5,0,Joseph,0.0,0,0,0.0,511,200,False,0.0,507,200,0,,,49,0,0,,0,,200089.jpg,0.0,0,0,Willock,0.1,False,,a,1,3,0.0,480,189,0,1243,177,4757,556,0.0,0.0,Willock,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,0,0,75.0,,0,200641,5.0,,0,0,-2,2,0.0,529,216,,,0,3,-0.4,0.5,0,Reiss,0.0,0,0,0.0,536,215,False,0.0,532,215,0,Hamstring injury - 75% chance of playing,2020-10-05T10:00:15.059375Z,53,0,0,,0,,200641.jpg,0.0,0,0,Nelson,0.1,False,,d,1,3,0.0,519,208,0,712,52,3709,531,0.0,0.0,Nelson,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
