id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,clean_sheet_points,xA,xA_points,adjusted points per game,xPoints week 1,next1_xP,next5_xP,next10_xP,value,valuePoints metric,xG_week1,goals_week1,xGA_week1,cleansheet_week1,xA_week1,assists_week1
11,0,0,23,,,1,98745,,,0,0,0,0,26.4,22,7,,,0,2,2.6,3.1,5,Héctor,5.0,0,0,4.0,71,21,False,9.8,128,58,90,,,50,0,0,,0,,98745.jpg,5.0,0,0,Bellerín,4.9,False,,a,1,3,4.0,96,24,5,38328,38328,22037,22037,1.0,1.0,Bellerín,1,Arsenal,1.0,4.8749230123119265,0.0,0.0,3.274923012311928,0.2,0.6000000000000001,4.8749230123119265,4.8749230123119265,5.011472405936433,,,0.9749846024623853,2.180131848121502,0.0,0.0,0.2,1.0,0.2,0.0
13,0,0,0,0.0,0.0,0,101184,,,0,0,0,0,0.0,277,113,,,0,2,0.0,0.0,0,Calum,0.0,0,0,0.0,295,114,False,0.0,288,114,0,Knee injury - Unknown return date,2020-08-15T10:00:11.386295Z,45,0,0,,0,,101184.jpg,0.0,0,0,Chambers,0.0,False,,i,1,3,0.0,224,96,0,65,65,205,205,0.0,0.0,Chambers,0,Arsenal,,,,,,,,,,,,,,,,,,,,
14,0,0,0,,,0,111457,,,0,0,0,0,0.0,382,161,,,0,2,2.6,3.1,0,Sead,0.0,0,0,0.0,389,161,False,0.0,383,161,0,,,50,0,0,,0,,111457.jpg,0.0,0,0,Kolasinac,0.3,False,,a,1,3,0.0,349,155,0,288,288,3813,3813,0.0,0.0,Kolasinac,0,Arsenal,,,,,,,,,,,,,,,,,,,,
15,0,0,21,,,1,154043,,,0,0,0,0,2.8,116,27,,,0,2,2.6,3.1,6,Ainsley,6.0,0,0,1.7,155,55,False,10.2,123,57,90,,,50,0,0,,0,,154043.jpg,6.0,0,0,Maitland-Niles,2.3,False,,a,1,3,4.0,99,25,6,19490,19490,10141,10141,1.2,1.2,Maitland-Niles,0,Arsenal,1.0,5.274923012311927,0.0,0.0,3.274923012311928,0.0,0.0,5.274923012311927,5.274923012311927,5.428254677482124,,,1.0549846024623855,2.3590172863214858,0.0,0.0,0.2,1.0,0.0,0.0
16,0,0,28,,,1,156074,,,0,0,0,0,1.2,146,37,,,0,2,2.1,2.6,6,Rob,6.0,0,0,2.2,130,42,False,20.6,53,25,90,,,45,0,0,,0,,156074.jpg,6.0,0,0,Holding,2.1,False,,a,1,3,0.0,247,110,6,51806,51806,16983,16983,1.3,1.3,Holding,0,Arsenal,1.0,5.274923012311927,0.0,0.0,3.274923012311928,0.0,0.0,5.274923012311927,5.274923012311927,5.428254677482124,,,1.1722051138470948,2.486622554828489,0.0,0.0,0.2,1.0,0.0,0.0
17,0,0,25,,,1,192895,,,0,0,0,0,2.5,122,29,,,0,2,3.0,3.5,6,Kieran,6.0,0,0,1.7,157,56,False,12.8,107,52,90,,,55,0,0,,0,,192895.jpg,6.0,0,0,Tierney,12.0,False,,a,1,3,2.0,122,36,6,41563,41563,40177,40177,1.1,1.1,Tierney,0,Arsenal,1.0,5.274923012311927,0.0,0.0,3.274923012311928,0.0,0.0,5.274923012311927,5.274923012311927,5.428254677482124,,,0.9590769113294413,2.2492347298911946,0.0,0.0,0.2,1.0,0.0,0.0
18,0,0,3,,,0,195735,1.0,,-1,1,-1,1,15.3,48,32,3.0,,0,3,3.2,3.7,1,Nicolas,1.0,0,0,2.3,127,62,False,2.0,193,92,15,,,79,0,0,2.0,0,,195735.jpg,1.0,0,0,Pépé,1.7,False,,a,1,3,6.0,90,46,1,2043,2043,38740,38740,0.1,0.1,Pépé,0,Arsenal,1.0,2.118730753077981,0.0,0.0,0.8187307530779818,0.1,0.30000000000000004,2.118730753077981,1.3,2.1486725335976864,,,0.26819376621240265,0.7538105731933082,0.0,0.0,0.2,0.0,0.1,0.0
19,0,0,0,,,0,198849,5.0,,0,0,0,0,0.0,404,153,,,0,3,1.9,2.4,0,Lucas,0.0,0,0,0.0,410,153,False,0.0,405,152,0,,,50,0,0,,0,,198849.jpg,0.0,0,0,Torreira,0.2,False,,a,1,3,0.0,377,129,0,627,627,3411,3411,0.0,0.0,Torreira,0,Arsenal,,,,,,,,,,,,,,,,,,,,
20,0,0,0,,,0,200089,,,0,0,0,0,0.0,407,154,,,0,3,1.9,2.4,0,Joseph,0.0,0,0,0.0,413,154,False,0.0,408,153,0,,,50,0,0,,0,,200089.jpg,0.0,0,0,Willock,0.1,False,,a,1,3,0.0,380,130,0,202,202,1413,1413,0.0,0.0,Willock,0,Arsenal,,,,,,,,,,,,,,,,,,,,
21,0,0,0,,,0,200641,6.0,,0,0,0,0,0.0,466,180,,,0,3,2.3,2.8,0,Reiss,0.0,0,0,0.0,466,179,False,0.0,463,178,0,,,55,0,0,,0,,200641.jpg,0.0,0,0,Nelson,0.1,False,,a,1,3,0.0,454,170,0,174,174,1118,1118,0.0,0.0,Nelson,0,Arsenal,,,,,,,,,,,,,,,,,,,,
