id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,clean_sheet_points,xGA_week11,cleansheet_week11,xA,xA_points,xG_week11,goals_week11,xPoints week 11,xA_week11,assists_week11,adjusted points per game,xPoints week 1,xG_week1,goals_week1,xGA_week1,cleansheet_week1,xA_week1,assists_week1,xPoints week 2,xG_week2,goals_week2,xGA_week2,cleansheet_week2,xA_week2,assists_week2,xPoints week 3,xG_week3,goals_week3,xGA_week3,cleansheet_week3,xA_week3,assists_week3,xPoints week 4,xG_week4,goals_week4,xGA_week4,cleansheet_week4,xA_week4,assists_week4,xPoints week 5,xG_week5,goals_week5,xGA_week5,cleansheet_week5,xA_week5,assists_week5,xPoints week 6,xG_week6,goals_week6,xGA_week6,cleansheet_week6,xA_week6,assists_week6,xPoints week 7,xG_week7,goals_week7,xGA_week7,cleansheet_week7,xA_week7,assists_week7,xPoints week 8,xG_week8,goals_week8,xGA_week8,cleansheet_week8,xA_week8,assists_week8,xPoints week 9,xG_week9,goals_week9,xGA_week9,cleansheet_week9,xA_week9,assists_week9,xPoints week 10,xG_week10,goals_week10,xGA_week10,cleansheet_week10,xA_week10,assists_week10,form 5,form 10,next1_xP,next5_xP,next10_xP,value,valuePoints metric,xG+xA,xG+xA per game
539,0,0,0,,,0,463034,,,0,0,-1,1,0.3,397,54,,,0,4,0.5,1.5,0,Liam,0.0,4,0,0.2,422,54,False,0.0,513,58,39,,,44,0,0,,0,,463034.jpg,1.0,0,0,Delap,1.0,False,,a,12,43,4.0,340,53,1,159574,9432,111517,5135,0.0,0.2,Delap,0,Manchester City,1.0,1.0,0.0,0.0,0.0,0.20000000000000107,0.0,0.0,0.0,,,,,,1.0,,,,,,,,,,,,,,,1.4,0.1,0.0,2.6,0.0,0.0,0.0,,,,1.6,0.0,,,,,,0.8999999999999995,0.0,,,,,,0.5,0.0,,,,,,0.5,0.0,,,,,,1.4000000000000004,0.0,,,,,,0.6999999999999993,0.0,,,,,,0.4000000000000004,0.0,,,,1.4,1.0,1.0,1.0,0.22727272727272727,0.4767312946227962,0.0,0.0
552,0,0,0,,,0,244851,,,0,0,0,0,0.0,522,206,,,0,3,0.5,1.5,0,Cole,0.0,0,0,0.0,537,205,False,0.0,536,205,0,,,45,0,0,,0,,244851.jpg,0.0,0,0,Palmer,0.0,False,,a,12,43,0.0,497,194,0,981,27,808,44,0.0,0.0,Palmer,0,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,0,0,144,,,4,171314,,,0,0,1,-1,12.2,320,110,,,0,2,4.5,5.5,6,Rúben Santos,4.0,5,0,21.1,200,60,False,135.6,146,58,699,,,56,0,0,,0,,171314.jpg,3.6,0,0,Gato Alves Dias,3.3,False,,a,12,43,63.0,165,33,29,289925,15644,68573,8319,0.7,5.2,Dias,2,Manchester City,8.055555555555555,29.8933576296562,0.8,4.800000000000002,12.093357629656206,0.20000000000000107,1.0,0.0,0.0,0.30000000000000004,0.0,7.074923012311922,0.0,0.0,3.710899567819391,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,2.6262786389623973,0.0,0.0,0.8999999999999995,1.0,0.0,0.0,4.426122638850534,0.0,0.0,0.5,0.0,0.0,0.0,4.426122638850534,0.0,0.0,0.5,1.0,0.0,0.0,2.9863878557664254,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,2.586341215165639,0.09999999999999998,0.0,0.6999999999999993,0.0,0.0,0.0,5.8812801841425575,0.2,0.0,0.4000000000000004,1.0,0.0,0.0,4.5910109812474165,4.286779454864288,3.3704302366362704,3.896091465738884,3.9041801923171113,0.6626606371106056,1.5681412793063858,0.8,0.09931034482758622
595,0,0,0,,,0,432720,,,0,0,0,0,0.0,439,21,,,0,1,0.5,1.5,0,James,0.0,0,0,0.0,460,45,False,0.0,459,45,0,,,40,0,0,,0,,432720.jpg,0.0,0,0,Trafford,0.1,False,,a,12,43,0.0,400,18,0,5687,721,1849,237,0.0,0.0,Trafford,0,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,0,0,0,0.0,0.0,0,42899,,,0,0,-1,1,0.0,557,55,,,0,1,0.0,0.0,0,Sergio,0.0,0,0,0.0,568,68,False,0.0,567,68,0,Not included in Manchester United's 25-man Premier League squad. - Unknown return date,2020-09-18T11:00:13.071653Z,49,0,0,,0,,42899.jpg,0.0,0,0,Romero,0.1,False,,n,13,1,0.0,544,54,0,452,9,7462,60,0.0,0.0,Romero,0,Manchester Utd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,3,0,74,,,1,43670,3.0,,0,0,-1,1,121.5,84,55,4.0,,0,3,2.8,3.8,4,Juan,3.3,2,0,23.1,190,90,False,61.8,266,111,318,,,59,0,0,5.0,0,,43670.jpg,3.6,0,0,Mata,0.2,False,,a,13,1,48.0,200,105,18,8868,579,11663,474,0.6,3.1,Mata,0,Manchester Utd,5.0,15.778132936541205,0.2,1.0,1.3092283429016298,2.200000000000001,0.0,0.8,2.4000000000000004,0.0,0.0,3.2229681978798586,0.4,1.0,3.155626587308241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.639846118852646,0.1,0.0,0.6000000000000005,0.0,0.1,1.0,2.4000000000000004,0.1,0.0,0.09999999999999963,0.0,0.30000000000000004,0.0,,,,1.0999999999999996,0.0,,,2.5488116360940265,0.0,0.0,0.5999999999999996,0.0,0.0,0.0,3.5667155662250303,0.0,0.0,0.6000000000000014,1.0,0.0,1.0,,,,0.3999999999999986,0.0,,,3.1128318000663056,3.2756683038103125,2.954167430449932,3.1789205434378687,3.173201454821037,0.5348519639505492,1.2991509064448141,1.0,0.2
291,0,0,116,100.0,100.0,2,51940,,,0,0,-1,1,0.0,585,63,,,0,1,1.5,2.5,0,David,2.0,16,0,13.1,280,18,False,129.6,154,18,765,,2020-12-05T23:30:17.656720Z,54,0,0,,0,,51940.jpg,2.3,0,16,de Gea,3.4,False,,a,13,1,0.0,582,63,21,112688,1184,206727,12013,0.4,3.9,de Gea,0,Manchester Utd,9.130434782608695,22.56305920032495,0.0,0.0,9.563059200324949,2.200000000000001,0.0,0.0,0.0,,,,,,2.471192198130828,,,,,,,,1.8075860719786208,0.0,0.0,1.6,0.0,0.0,0.0,2.4010353748912148,0.0,0.0,2.3,0.0,0.0,0.0,-0.9190323542167824,0.0,0.0,3.9,0.0,0.0,0.0,5.195246544376103,0.0,0.0,0.6000000000000005,0.0,0.0,0.0,5.619349672143838,0.0,0.0,0.09999999999999963,1.0,0.0,0.0,3.331484334792319,0.0,0.0,1.0999999999999996,0.0,0.0,0.0,4.195246544376106,0.0,0.0,0.5999999999999996,0.0,0.0,0.0,4.1952465443761024,0.0,0.0,0.6000000000000014,1.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,0.0,0.0,0.0,2.930494355886132,2.8695736369686133,2.2261539360200753,2.4212725332347147,2.3754352977578725,0.4576281848390422,1.063431803182044,0.0,0.0
292,0,0,0,0.0,0.0,0,55909,,,0,0,-1,1,0.0,559,213,,,0,2,0.0,0.0,0,Chris,0.0,0,0,0.0,570,213,False,0.0,569,213,0,Joined Roma on a permanent deal on 5/10,2020-10-05T20:30:12.521425Z,49,0,0,,0,,55909.jpg,0.0,0,0,Smalling,0.1,False,,u,13,1,0.0,546,207,0,1877,5,11686,49,0.0,0.0,Smalling,0,Manchester Utd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,0,0,1,,,0,58498,,,0,0,-3,3,0.1,406,58,,,0,4,-0.5,0.5,0,Odion,0.0,1,0,0.2,424,55,False,0.0,602,76,9,,,62,0,0,,0,,58498.jpg,1.0,0,0,Ighalo,0.2,False,,a,13,1,2.0,357,55,1,6472,147,20903,296,0.0,0.2,Ighalo,0,Manchester Utd,1.0,1.0,0.0,0.0,0.0,2.200000000000001,0.0,0.0,0.0,,,,,,1.0,,,,,,,,1.0,0.0,0.0,1.6,0.0,0.0,0.0,,,,2.3,0.0,,,,,,3.9,0.0,,,,,,0.6000000000000005,0.0,,,,,,0.09999999999999963,0.0,,,,,,1.0999999999999996,0.0,,,,,,0.5999999999999996,0.0,,,,,,0.6000000000000014,0.0,,,,,,0.3999999999999986,0.0,,,,1.0,1.0,1.0,1.0,0.16129032258064516,0.4016096644512494,0.0,0.0
294,0,0,0,75.0,50.0,0,58893,,,0,0,-2,2,0.0,544,210,,,0,2,-0.4,0.2,0,Marcos,0.0,0,0,0.0,556,210,False,0.0,555,210,0,Lack of match fitness - 75% chance of playing,2020-11-20T14:30:28.947231Z,48,0,0,,0,,58893.jpg,0.0,0,0,Rojo,0.1,False,,d,13,1,0.0,526,203,0,864,8,3919,82,0.0,0.0,Rojo,0,Manchester Utd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
